Name,Record ID,Organization Full Name,Trimmed Name,Shorthand,Type,Sub-Type,EIN,EIN searched,Parent Org,Website,Mission/Description,Network Membership,# Networks,Network Founder,Maps Managed,Tech Tools,People,Street,City,State,Zip,General Contact Email,Org Phone,Location Scope,Location Notes,Data Source,Tax Class/Subsection,Subsection Description,nonprofit class w description,NTEE Code,Goals,Category of Work,Methods,Self-Identified Ideology,Funder Type,External Schema,DFN Coding,Candid Subject,Candid Population,CC Primary Work,CC Topic(s),CC Work Area(s),CC Audiences,Link to Agora,2022 Revenue,2021 Revenue,2020 Revenue,2019 Revenue,2018 Revenue,2017 Revenue,2016 Revenue,2015 Revenue,Full Data,FLAG FOR REVIEW,Reason for flag/review,Flagged/unflagged by,Notes,Last modified,Created by,Orgs & Funders table,Latest Tax Year (from Link to Agora),DFN 990 data,Last modified by,Ruling Year,IRS Org Name,Resolved,Resolved by,Organization does not exist,Organization does not meet criteria for inclusion,Notes about not meeting criteria,Latitude,Longitude
Woodmen of the World Omaha Woodmen Life Insurance Society,9294,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7628652,,,,,,0,,,,,PO Box 484,Mackay,ID,83251,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9295,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7630522,,,,,,0,,,,,1306 White Cir,Mckinney,TX,75069,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,checked,chapter organization to be batched;,Breanna Bowyer,,4/23/2024,Rachel Fersh,,,,Breanna Bowyer,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9296,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7629216,,,,,,0,,,,,PO Box 240,Falkville,AL,35622,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9297,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7628945,,,,,,0,,,,,23551 Masch Ave,Warren,MI,48091,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9298,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7574077,,,,,,0,,,,,4538 Clinton Ave,Klamath Falls,OR,97603,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9299,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7630469,,,,,,0,,,,,283 Trahan Rd,Lumberton,TX,77657,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,checked,chapter organization to be batched;,Breanna Bowyer,,4/23/2024,Rachel Fersh,,,,Breanna Bowyer,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9300,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7629703,,,,,,0,,,,,1732 Western Ave,Albany,NY,12203,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9301,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,51-0175431,,,,,,0,,,,,5040 Canal St,Olivehurst,CA,95961,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9302,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7630684,,,,,,0,,,,,26 Richard Sweet Dr,Woodbridge,CT,6525,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9303,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7630566,,,,,,0,,,,,5601 Jfk Blvd Ste 201,North Little Rock,AR,72116,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9304,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7631029,,,,,,0,,,,,125 Timber Ridge Dr,Ruston,LA,71270,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9305,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7630938,,,,,,0,,,,,1853 Old Olive Rd,Benton,KY,42025,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9306,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7630509,,,,,,0,,,,,PO Box 10,Sudan,TX,79371,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,checked,chapter organization to be batched;,Breanna Bowyer,,4/23/2024,Rachel Fersh,,,,Breanna Bowyer,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9307,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,51-0253226,,,,,,0,,,,,1921 N Talbott Pl,Waynesboro,VA,22980,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9308,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7629989,,,,,,0,,,,,PO Box 12008,New Bern,NC,28561,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9309,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7630484,,,,,,0,,,,,410 Asbury St,Jacksonville,TX,75766,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,checked,chapter organization to be batched;,Breanna Bowyer,,4/23/2024,Rachel Fersh,,,,Breanna Bowyer,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9310,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,58-1814793,,,,,,0,,,,,2964 Ridge Re NE,Norwood,GA,30821,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,checked,chapter organization to be batched;,Breanna Bowyer,,5/7/2024,Rachel Fersh,,,,Breanna Bowyer,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9311,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7629491,,,,,,0,,,,,124 Water St,Uniontown,PA,15401,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,checked,chapter organization to be batched; ,Breanna Bowyer,,5/13/2024,Rachel Fersh,,,,Breanna Bowyer,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9312,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,59-2440545,,,,,,0,,,,,3490 Summerwood Way,Lakeland,FL,33812,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9313,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7630026,,,,,,0,,,,,9 Vine St,New Bremen,OH,45869,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9314,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,56-1318011,,,,,,0,,,,,3200 Olive Chapel Rd,Apex,NC,27502,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9315,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7629616,,,,,,0,,,,,728 Jim Blake Rd,Jacksonville,NC,28540,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9316,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7275277,,,,,,0,,,,,2393 Silverston Rd,Autryville,NC,28318,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9317,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7629137,,,,,,0,,,,,7814 Menaul NE,Alburquerque,NM,87112,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9318,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,51-0221193,,,,,,0,,,,,559 Polly Dr,Cookeville,TN,38501,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9319,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7629307,,,,,,0,,,,,382 Morgan Hare Rd,Monroe,LA,71203,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9320,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,58-1587549,,,,,,0,,,,,218 Collins St,Hazlehurst,GA,31539,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,checked,chapter organization to be batched;,Breanna Bowyer,,5/7/2024,Rachel Fersh,,,,Breanna Bowyer,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9321,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7628709,,,,,,0,,,,,17607 Community St,Lansing,IL,60438,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9322,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,58-1775993,,,,,,0,,,,,134 4th Ave,Griffin,GA,30223,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,checked,chapter organization to be batched;,Breanna Bowyer,,5/7/2024,Rachel Fersh,,,,Breanna Bowyer,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9323,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,59-2461511,,,,,,0,,,,,15606 SW 27th Avenue Rd,Ocala,FL,34473,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9324,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7628847,,,,,,0,,,,,66 W Main St,Bruceton Mills,WV,26525,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9325,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7631057,,,,,,0,,,,,236 Christopher Ln,Union,SC,29379,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,WOODMEN OF THE WORLD OMAHA WOODMEN LIFE INSURANCE SOCIETY,$0.00,,,$0.00,,,,,,,,,,1/3/2024,Rachel Fersh,,2022,,Rachel Fersh,1941,WOODMEN OF THE WORLD OMAHA WOODMEN LIFE INSURANCE SOCIETY,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9326,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7630625,,,,,,0,,,,,4321 Old Doerun Rd,Moultrie,GA,31768,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,checked,chapter organization to be batched;,Breanna Bowyer,,5/7/2024,Rachel Fersh,,,,Breanna Bowyer,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9327,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,58-2071499,,,,,,0,,,,,2200 White Pine Ln,Mansfield,GA,30055,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,checked,chapter organization to be batched;,Breanna Bowyer,,5/7/2024,Rachel Fersh,,,,Breanna Bowyer,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9328,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7629850,,,,,,0,,,,,6568 Misty Creek Dr,Citrus Heights,CA,95621,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9329,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7630782,,,,,,0,,,,,298 Drexel St,Orangeburg,SC,29115,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9330,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7629283,,,,,,0,,,,,PO Box 235,Reserve,LA,70084,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9331,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,58-2202814,,,,,,0,,,,,480 Crestview Cir,Montevallo,AL,35115,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9332,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7629735,,,,,,0,,,,,1700 Farnam St,Omaha,NE,68102,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9333,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,37-1354571,,,,,,0,,,,,4111 N Water Tower Pl Ste E,Mount Vernon,IL,62864,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9334,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7630898,,,,,,0,,,,,727 Legion Dr,Madisonville,KY,42431,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9335,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7629834,,,,,,0,,,,,9216 Wedgewood St,Temple City,CA,91780,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
Woodmen of the World Omaha Woodmen Life Insurance Society,9336,Woodmen of the World Omaha Woodmen Life Insurance Society,Woodmen of the World Omaha Woodmen Life Insurance Society,,Practitioner Organization,Chapter,23-7631206,,,,,,0,,,,,PO Box 336,Ringgold,LA,71068,,,,,Candid,501(c)(8),Fraternal Beneficiary Societies,501(c)(8) Fraternal Beneficiary Societies,Q35 International Democracy & Civil Society Development,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,,,,,Democracy,,,,,,,,,,,,,,,,,,,,12/26/2023,Rachel Fersh,,,,Rachel Fersh,,,,,,,,,
