Name,City,State,Zip,EIN,Source,Goals,Category of Work,Methods,Focus Areas
"Developmental Services, California Department of",Sacramento,CA,95814,680282313,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education; Healthy Futures
Diakon Child Family & Community Ministries,Topton,PA,19562,465390969,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Environmental Stewardship; Healthy Futures
Diamond In the Rough Youth Development Program Inc,Snellville,GA,30078,830428456,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education
Diaper Bank of North Carolina,Durham,NC,27704,320401621,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Healthy Futures
Dickinson-Iron Community Services Agency,Iron Mountain,MI,49801,382889846,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Economic Opportunity; Healthy Futures
Digital Harbor Foundation,Baltimore,MD,21230,452536579,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Economic Opportunity; Education; Healthy Futures
Dignity Health Connected Living,Redding,CA,96003,237115371,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education; Healthy Futures
Dillard University Division of Student Success,New Orleans,LA,70122,720408929,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education
Diocese of Syracuse Roman Catholic,Binghamton,NY,13905,161170407,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures
District III Area Agency on Aging,Warrensburg,MO,64093,431015585,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures
Dodge City Community College,Dodge City,KS,67801,521718586,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures
Dove Inc,Decatur,IL,62522,370920903,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Economic Opportunity; Healthy Futures
DownCity Design,Providence,RI,02903,271125644,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education
Downeast Community Partners,Ellsworth,ME,04605,010288757,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Environmental Stewardship
"Dr. Piper Center for Social Services, Inc.",Fort Myers,FL,33916,650788551,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Education; Healthy Futures
DreamTree Project,Taos,NM,87571,850462470,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Economic Opportunity
Drew Lewis Foundation,Springfield,MO,65802,472991671,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity
Drexel University,Philadelphia,PA,19104,231352630,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Economic Opportunity
Drive To Thrive Mentoring Program,Vicksburg,MS,39180,863163161,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building
"Dubois-Pike-Warrick Economic Opportunity Committee, Inc. d/b/a TRI-CAP",Jasper,IN,47546,351121163,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Environmental Stewardship; Healthy Futures; Veterans and Military Families
Duke University,Durham,NC,27705,560532129,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education
Duluth Area Family Y.M.C.A.,Duluth,MN,55802,410693931,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
Dundalk Renaissance Corp,Dundalk,MD,21222,522306483,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity
Durham Public Schools Foundation,Durham,NC,27701,822803464,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education
EAST CAROLINA UNIVERSITY,Greenville,NC,27858,566000403,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
"EASTER SEALS NORTH GEORGIA, INC.",Clarkston,GA,30021,581919768,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
EASTERN NEBRASKA HUMAN SERVICES AGENCY,Omaha,NE,68137,470531340,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education; Healthy Futures
ECO-SERVANTS,Ruidoso,NM,88345,201272940,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Environmental Stewardship
ECONOMIC DEVELOPMENT MISSOURI DEPARTMENT,Jefferson City,MO,65101,446000987,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education
EDUCATION ALLIANCE,Charleston,WV,25301,550630914,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education
EGYPTIAN AREA AGENCY ON AGING INC,Carterville,IL,62918,371053330,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures
EMMANUEL FAMILY & CHILD DEVELOPMENT,Kansas City,MO,64130,742925720,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
ENGAGENJ A NJ NONPROFIT CORPORATION,Jersey City,NJ,07305,452475221,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Education; Healthy Futures
"ETHIOPIAN COMMUNITY DEVELOPMENT COUNCIL, INC.",Arlington,VA,22204,521308986,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity
EXECUTIVE OFFICE OF THE STATE OF ARIZONA,Phoenix,AZ,85007,866004791,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building
EXECUTIVE OFFICE OF THE STATE OF COLORADO,Denver,CO,80203,840644739,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building
EarthCorps,Seattle,WA,98115,911592071,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Environmental Stewardship
EarthDance,Ferguson,MO,63135,274160056,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Healthy Futures
East Alabama Services for the Elderly Inc,Auburn,AL,36830,630672631,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
East Bay Community Action Program,Newport,RI,02840,050310024,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Education; Healthy Futures
East Boston Community Health Center Corporation,Boston,MA,02128,237425849,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures
East Harris County Empowerment Council,Houston,TX,77029,270377576,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Disaster Services; Economic Opportunity
Easter Seals Wisconsin Inc,Madison,WI,53717,390824877,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures; Veterans and Military Families
Eastern Michigan University,Ypsilanti,MI,48197,386005986,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Economic Opportunity
Ecolibrium3,Duluth,MN,55806,452746481,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Disaster Services; Economic Opportunity; Education; Environmental Stewardship; Healthy Futures
Economic Development Authority Iowa,Des Moines,IA,50315,010606429,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building
"Economic Opportunity Authority For Savannah-Chatham County Area, Incorporated",Savannah,GA,31415,580952632,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education; Environmental Stewardship; Healthy Futures; Veterans and Military Families
Ecumen,Shoreview,MN,55126,911982139,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Healthy Futures
Educacion Para Nuestro Futuro Founded by Escuela Bolivia,Arlington,VA,22204,541914671,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Education
Education Forward Arizona,Phoenix,AZ,85018,202366755,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
"Education, Maine Department Of",Augusta,ME,04333,016000001,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education
Educational Justice Inc,Louisville,KY,40203,270405207,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education
Educational Service District 101,Spokane,WA,99223,910948293,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Economic Opportunity
"Edward M Kennedy Community Health Center, Inc.",Worcester,MA,01605,042513817,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures
Eightcap Inc,Orleans,MI,48865,386111652,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education; Healthy Futures
El Paso County,El Paso,TX,79901,746000762,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity
El Paso Independent School District Education Foundation,El Paso,TX,79902,746000769,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education
"El Paso, City of",El Paso,TX,79901,746000749,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education; Healthy Futures
El Pasoans Fighting Hunger Food Bank,El Paso,TX,79927,452893839,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Healthy Futures; Urban/Rural Development
"Elder Care Services, Inc.",Tallahassee,FL,32304,591426079,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education; Healthy Futures
ElderCircle,Grand Rapids,MN,55744,411994691,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Healthy Futures
Elderlife Inc,Utica,NY,13501,161557404,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures
"Elderly United of Springfield and Clark County, Ohio, Inc.",Springfield,OH,45502,310747271,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education; Healthy Futures
Eldon R 1 School District,Eldon,MO,65026,446002437,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
Elepaio Social Services,Waianae,HI,96792,871098803,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Healthy Futures
"Elev8 Baltimore, Inc.",Baltimore,MD,21201,460889783,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education
"Elevate Tutoring, INC.",San Jose,CA,95125,451058760,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education
Elon University,Elon,NC,27244,560532303,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education; Healthy Futures
Emanuel Preparatory School of Math and Science,Midland,GA,31820,474319631,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education
Emerald Youth Foundation,Knoxville,TN,37921,621474791,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
Emporia State University,Emporia,KS,66801,481124839,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
"Encompass Early Education and Care, Inc.",Green Bay,WI,54301,390824004,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
Enhancing and Strengthening North Dakota Nonprofits and Communities,Minot,ND,58703,475449750,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Environmental Stewardship; Healthy Futures
"Enterprise Community Partners, Inc.",Columbia,MD,21044,521231931,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity
Entryway,Vienna,VA,22182,471004312,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity
Envisioneers Inc,Redwood City,CA,94065,862828543,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
"Epilepsy Foundation New England, Inc",Lowell,MA,01854,222505819,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures
Equal Heart,Dallas,TX,75220,462846816,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Economic Opportunity; Education; Healthy Futures
Equal Justice Wyoming,Cheyenne,WY,82002,830208667,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Healthy Futures
Equity Now Inc,Lanham,MD,20706,822008232,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
"Erie, County of",Buffalo,NY,14202,166002558,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Education; Environmental Stewardship; Healthy Futures; Veterans and Military Families
Esperanza Para La Vejez Inc,Bayamon,PR,00956,660268234,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education; Healthy Futures
"Ethos, Inc.",Portland,OR,97217,911954235,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education
"Etowah, County of",Gadsden,AL,35901,636001533,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Education; Healthy Futures
Evanston Rebuilding Warehouse,Evanston,IL,60202,273797852,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity
Evelyn Rubenstein Jewish Community Center of Houston,Houston,TX,77096,741198298,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Disaster Services; Economic Opportunity; Education; Healthy Futures
"Every Arkansan, Inc.",North Little Rock,AR,72114,270730530,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education; Healthy Futures
Ewalu Inc.,Kailua Kona,HI,96740,882442548,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building
FAMILIES AND YOUTH INCORPORATED (FYI),Las Cruces,NM,88001,850275762,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
FAMILY & CHILDREN'S ASSOCIATION,Garden City,NY,11530,113422018,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures
FELLOWSHIP CUP,Mount Pleasant,IA,52641,421298639,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education; Healthy Futures
FEMA - Region VI,Denton,TX,76209,720564834,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Disaster Recovery/Relief
"FEMA- Headquarters- FEMA Office- Washington, DC",Washington,DC,20024,720564834,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Disaster Recovery/Relief
FEMA-Region 9,Oakland,CA,94607,72-0564834,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Disaster Recovery/Relief
FEMA-Region IV-Atlanta,Atlanta,GA,30341,72-0564834,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Disaster Recovery/Relief
FIELD & FORK NETWORK INC,Buffalo,NY,14214,264287659,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Healthy Futures
FINM Solutions,Saint Clair Shores,MI,48081,852248065,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building
FIREWALL CENTERS,Cooper City,FL,33330,061704451,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
FLORIDA COMMISSION ON COMMUNITY SERVICE,Tallahassee,FL,32308,611596268,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Environmental Stewardship
FLORIDA DEPARTMENT OF ENVIRONMENTAL PROTECTION,Tallahassee,FL,32399,596007353,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Environmental Stewardship
FOCUS HOPE,Detroit,MI,48238,381948285,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Education; Healthy Futures
"FOOD BANK OF CENTRAL LOUISIANA, INC., THE",Alexandria,LA,71301,721154072,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures
FOR INSPIRATION AND RECOGNITION OF SCIENCE AND TECHNOLOGY,Manchester,NH,03101,222990908,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
FOR PROVIDERS BY PROVIDERS LOUISIANA,New Orleans,LA,70119,863014378,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
FOSTER AND ADOPTIVE PARENT ADVOCACY CENTER,Washington,DC,20011,043812274,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
"FRIENDS OF COULEE REGION RETIRED SENIORS VOLUNTEER PROGRAM, INC.",La Crosse,WI,54601,391781646,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education; Healthy Futures
FRIENDS OF THE RETIRED AND SENIOR VOLUNTEER PROGRAM OF SUFFOLK INC,Smithtown,NY,11787,113493688,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Education; Environmental Stewardship; Healthy Futures; Veterans and Military Families
FRIENDS PROGRAM,Concord,NH,03301,020326855,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education; Healthy Futures
FRIENDSHIP CENTERS OF EMMET COUNTY,Petoskey,MI,49770,237000317,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Economic Opportunity; Healthy Futures
Families Working Together Inc,Barneveld,WI,53507,460812078,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
"Family & Children's Service, Inc of Monmouth County",Long Branch,NJ,07740,210650674,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education; Healthy Futures
Family & Children's Services of Central Maryland,Baltimore,MD,21209,520591546,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
"Family & Community Services, Inc.",Ravenna,OH,44266,341902451,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Education; Healthy Futures
"Family Housing Advisory Services, INC: Omaha EITC Coalition",Omaha,NE,68107,470526720,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Urban/Rural Development
"Family Scholar House, Inc",Louisville,KY,40208,611285124,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building
Family Service Agency of Mid Michigan,Flint,MI,48503,381360539,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education; Healthy Futures
Family Service Organization,Worcester,MA,01603,042103767,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Economic Opportunity; Education; Healthy Futures
Family Service of Champaign County,Champaign,IL,61820,370663559,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Education; Healthy Futures; Veterans and Military Families
Farm Fresh Rhode Island,Providence,RI,02909,204625643,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Healthy Futures
"Fayette County Community Action Agency, Inc.",Uniontown,PA,15401,251180898,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Economic Opportunity; Healthy Futures
Federal Emergency Management Agency (FEMA) - Region 3,Philadelphia,PA,19106,720564834,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Disaster Recovery/Relief
Federal Emergency Management Agency (FEMA) - Region II Regional Office,New York,NY,10007,720564834,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Disaster Recovery/Relief
Federal Hill House Association Inc.,Providence,RI,02909,050258871,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Economic Opportunity; Education; Healthy Futures
Federation of Organizations for the New York State Mentally Disabled Inc.,West Babylon,NY,11704,237237931,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education; Healthy Futures
Feeding America Eastern Wisconsin,Milwaukee,WI,53205,391384593,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Healthy Futures
"Feeding America Tampa Bay, Inc.",Tampa,FL,33605,592116576,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Healthy Futures
Feeding Louisiana,Baton Rouge,LA,70809,270667900,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Healthy Futures
Felton Institute,San Francisco,CA,94109,941156530,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education; Healthy Futures
Fife Lake Public Library,Fife Lake,MI,49633,382936998,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education
"Finney County Retired Senior Volunteer Program, Inc.",Garden City,KS,67846,481087089,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Economic Opportunity; Healthy Futures
First Baptist Church Of Linden,Linden,TN,37096,621183293,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures
First State Community Action Agency,Georgetown,DE,19947,510104704,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures
First Tennessee Human Resource Agency,Johnson City,TN,37604,620928394,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
Fish Wildlife & Parks Montana Department,Helena,MT,59601,810302402,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Environmental Stewardship
Five County Association of Governments,Saint George,UT,84770,870304025,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education; Healthy Futures
"Flagler Volunteer Services, Inc.",Bunnell,FL,32110,593644298,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Disaster Services; Education
"Flint Hills Volunteer Center, Inc.",Manhattan,KS,66502,480993907,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education; Healthy Futures; Veterans and Military Families
"Florida Coalition for the Homeless, Inc.",Palm Bay,FL,32905,592981086,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Healthy Futures
Florida Department of Children and Families,Tallahassee,FL,32303,593458463,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Education; Healthy Futures
"Florida Dream Center Inc.,",Saint Petersburg,FL,33714,460663472,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity
Florida Introduces Physical Activity and Nutrition to Youth Incorporated,Fort Lauderdale,FL,33312,870743538,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures
Florida State University,Tallahassee,FL,32306,591961248,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Education; Healthy Futures; Veterans and Military Families
Focus on Senior Citizens,Tuscaloosa,AL,35404,630646488,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Disaster Services; Economic Opportunity; Education; Healthy Futures
"Folk Education Association of America, INC.",Olympia,WA,98506,610996174,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures
"FoodCorps, Inc",Portland,OR,97214,273990987,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Healthy Futures
"Footprints, Inc.",Kansas City,MO,64110,431648039,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building
Fordham University,Bronx,NY,10458,131740451,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity
Forest Grove School District,Forest Grove,OR,97116,930566292,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
"Fort Bend Family Health Center, Inc.",Richmond,TX,77469,741951476,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Healthy Futures
Fort Hays State University,Hays,KS,67601,481210777,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education; Healthy Futures
Foster Grandparents of South East Idaho Inc,Blackfoot,ID,83221,820338413,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
"Four Corners School of Outdoor Education Inc., The",Monticello,UT,84535,391509336,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Environmental Stewardship
"Four County Mental Health Center, Inc",Independence,KS,67301,480697159,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Healthy Futures; Veterans and Military Families
Framingham State University,Framingham,MA,01702,043154529,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
"Frank Callen Boys & Girls Club, Inc.",Savannah,GA,31401,580622969,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Education
Franklin County Board of Education,Columbus,OH,43219,310914093,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
Franklin County DIAL SELF INC,Greenfield,MA,01301,042619617,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
Franklin Soil and Water Conservation District,Columbus,OH,43212,310847446,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Environmental Stewardship
Fresno County Economic Opportunities Commission,Fresno,CA,93721,941606519,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
Friends of Puerto Rico,Washington,DC,20007,811143995,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity
Fulton County Council on Aging Inc,Rochester,IN,46975,351336270,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Healthy Futures
Fulton Ind School District,Fulton,KY,42041,616001408,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
"Fund for Educational Excellence, Inc.",Baltimore,MD,21201,521129402,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education; Healthy Futures
Fund for Philadelphia Inc,Philadelphia,PA,19107,232174863,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Education; Healthy Futures
Fundacion Bucarabon Inc,Maricao,PR,00606,660910567,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Capacity Building; Economic Opportunity; Healthy Futures
Fundacion Sila M. Calderon,San Juan,PR,00925,660655436,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Economic Opportunity; Education
Furman University,Greenville,SC,29613,570314395,AmeriCorps,Service & Volunteerism,Service & Volunteerism,Service and Volunteerism,Education
