"","Name","EIN","Tax Class/Subsection","Shorthand","Type","Sub-Type","Parent Org","Website","Mission/Description","Network Founder","People","Street","City","State","Zip","General Contact Email","Org Phone","Location Scope","Methods","Category of Work","Funder Type","FLAG FOR REVIEW","Reason for flag/review","Self-Identified Ideology","Goals","Network Membership","Organization does not exist","Organization does not meet criteria for inclusion","Notes about not meeting criteria","lat","long"
"38","Citizens News Guild Inc (a.k.a. Texas Scorecard)","27-1553324","501(c)(3)","a.k.a. Texas Scorecard","Practitioner Organization","Journalism/Media",NA,"https://texasscorecard.com/","Through news reporting and investigative journalism, Texas Scorecard provides citizens the knowledge they need to effectively dominate government and culture.

Texas Scorecard exists for the purpose of reporting on the advancement of self-governance in the Lone Star State, and beyond.",NA,"Nathan Ofe","1501 Leander Dr Ste 1","Leander","TX","78641","info@texasscorecard.com","(888) 410-1836","State - single","Communications,Podcasts/Radio,Online Video,Print and Digital Publication","Civic Media",NA,NA,"should we add online publications as a method; no - readjusted print publication method - resolved 04/2024",NA,"Civic Journalism",NA,NA,NA,NA,30.5736134,-97.8567339
"39","Citizentex Fund","85-1061007","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://citizentex.org/about/","CitizenTex Fund is a 501(c)(3) non-profit organization committed to democratic values and increasing civic & electoral engagement through voter registration, public education and community building.",NA,NA,"2400 S Ervay St Apt 208","Dallas","TX","75215","info@citizentex.org",NA,"State - single",NA,"Voter Engagement",NA,NA,NA,NA,"Voter Engagement/Registration/Education,Community Engagement and Community Building,Civic Education",NA,NA,NA,NA,32.7762719,-96.7968559
"40","Collective Activism","84-4304497","501(c)(3)",NA,"Funder",NA,NA,"https://www.facebook.com/CollectiveActivismSocialJusticeCoordinationCenter/","We provide resources to victims of social injustice, under served communities, and to those that are financially destitute. We also provide educational opportunities to youth and adults and recources for the formerly incarcerated.",NA,NA,"5207 Grovewood St","Dallas","TX","75210","info@collectiveactivism.com","(469) 364-0270",NA,"Crowdfunding,Communications,Education,Dialogue","Deliberative/Participatory/Direct Democracy",NA,NA,NA,NA,"Social Mobility,Social Justice,Civic Forums for Discussion of Public Issues,Civic Infrastructure Development,Public Health",NA,NA,NA,NA,32.7762719,-96.7968559
"41","Cross Timbers Equestrian Trails Association","75-2841066","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://www.cteta.org/","Welcome to Cross Timbers Equestrian Trails Association (CTETA)—a 501(c)(3) nonprofit organization dedicated to trail stewardship. Since our founding in 1993, our mission has been to develop, maintain, and preserve equestrian trails while promoting responsible trail use and safety through volunteering, education and membership.

Our goal is simple: to allow the maximum number of people to enjoy the beautiful trails of our area on horseback!
CTETA volunteers maintain more than 25 miles of trails here in North Texas. The work of our trail ambassadors helps to create a safe experience for our riders and includes clearing deadfall, cutting back brush, and mowing the grass. Without us, many of these trails would cease to exist entirely. 

As with most government agencies, the U.S. Army Corps of Engineers is faced with cutbacks and limited funds for trail improvements. Club membership dues can only go so far. Therefore, it is important to have a strong membership base, not only for funds to support the trail maintenance, but for education and a continued strong voice in local matters of trail preservation and acquisition of land for connecting trails.",NA,"Susan Bodenmiller","PO BOX 155","ARGYLE","TX","76226","ctetaboard@gmail.com",NA,"Community/Local - single","Education,Service and Volunteerism,Communications,Membership","Service & Volunteerism",NA,NA,NA,NA,"Community Engagement and Community Building,Service & Volunteerism",NA,NA,NA,NA,33.110156,-97.179757556481
"42","Crrc of Canyon Lake","57-1148206","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://www.crrcofcanyonlake.org/","Our Mission:  To serve the residents of Canyon Lake by providing vital social service resources as well as life-enriching recreational and educational opportunities.
We serve the Canyon Lake, TX area; specifically the zip codes of 78133, 78623 and portions of 78132.",NA,"Tiffany Quiring","1917 FM 2673","Canyon Lake","TX","78133","operations@crrcofcanyonlake.org","(830) 964-2324",NA,"Service and Volunteerism,Food Justice and Access","Service & Volunteerism,Civic Associations",NA,NA,NA,NA,"Service & Volunteerism",NA,NA,NA,NA,29.8643185,-98.2437802
"43","Crystal Mason the Fight Against Voter Suppression","84-4476891","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://www.crystalmasonthefight.org/","Crystal Mason was arrested and thrown in jail for casting a provisional ballot. It’s evident that voter suppression is real and impacting black Americans across the country. Together, we will fight back and protect our right to vote.",NA,"Crystal Mason","PO Box 40986","Fort Worth","TX","76140","CrystalMasonTheFight@gmail.com","(469) 459-3399","""State - multiple, not region-specific""","Education,Service and Volunteerism","Electoral Reform",NA,NA,NA,NA,"Election Protection",NA,NA,NA,NA,32.753177,-97.3327459
"44","Daar Charitable Foundation","85-0487069","501(c)(3)",NA,"Funder",NA,NA,"https://standwithukrainefund.org/","For over 20 years, our mission has been to support the people of Ukraine. Our work began with a focus on vulnerable children - we developed outdoor activity camps and provided therapy through puppet theater for orphans and children with special needs. We later expanded our work to include support of local artists and preservation of Ukrainian cultures and history. Following Russia’s 2014 invasion, DAAR served provided humanitarian aid, including medical supplies, food, clothing, toys and personal protective gear directly to Ukrainians in the conflict zones. In light of the now full-scale, unprovoked war on the people of Ukraine, we have amplified our humanitarian aid efforts and are providing a broad range of physical, psychological and monetary support to all of Ukraine.",NA,"Natasha Bleyzer","123 N Post Oak Ln Ste 410","Houston","TX","77024","help@daarcharitablefoundation.org",NA,"International","Service and Volunteerism,Funding","Service & Volunteerism","Private Foundation",NA,NA,NA,"Service & Volunteerism",NA,NA,NA,NA,29.7589382,-95.3676974
"45","Dawg Days of Dawson","88-3451449","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://www.facebook.com/DawwgDays/","Dawg Days of Dawson is a 501c3 charity to help raise funds for improvements to the small town park.",NA,NA,"201 Oakridge Ln","Dawson","TX","76639","DawgDaysofDawson@gmail.com",NA,"Community/Local - single","Service and Volunteerism,Communications,Funding,Cross-sector collaboration,Community-Building / Networking","Civic Associations",NA,NA,NA,NA,"Community Engagement and Community Building,Service & Volunteerism",NA,NA,NA,NA,31.8940478,-96.7147127
"46","Dfw Asian American Citizens Council","75-2937979","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://www.dfwaacc.org/dfwaacc/","The mission of DFW AACC is to promote and assist Asian-American involvement in local, social, political, and civic activities that increase community awareness, improve Asian-American representation, and enhance the quality of life.",NA,NA,"420 Maplelawn Dr","Plano","TX","75075","dfwaacc.box@gmail.com",NA,"Community/Local - multiple","Youth Engagement,Leadership Training,Community-Building / Networking,Funding,Membership","Civic Associations",NA,NA,NA,NA,"Diversity & Inclusion,Community Engagement and Community Building,Social Isolation,Voter Engagement/Registration/Education,Youth Engagement and Leadership",NA,NA,NA,NA,33.0136764,-96.6925096
"47","Dispute Resolution Center of Montgomery County","76-0251562","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://resolution-center.org/","To provide and promote affordable, high-quality conflict resolution training and services in the Montgomery County area.",NA,"Elaine B.  Roberts","301 N Thompson St Ste 106","Conroe","TX","77301","mediate@mctx.org","(936) 760-6914","Community/Local - multiple","Mediation and Conflict Resolution,Professional Training","Connecting Across Differences",NA,NA,NA,NA,"Conflict Resolution and Peacebuilding",NA,NA,NA,NA,30.3118769,-95.4560512
"48","Equal Rights for Persons With Disabilities International Inc (ERPWDI)","51-0533520","501(c)(3)","ERPWDI","Practitioner Organization",NA,NA,"https://sustainabledevelopment.un.org/index.php?page=view&type=20036&menu=1561&nr=55262","The major purpose of forming the Equal Rights for Persons with Disabilities International, Inc.(ERPDI), shall be for people with disabilities, in collaboration with their friends, family members, healthcare providers, social workers, teachers, advocates and other allies, to directly and indirectly engage in promoting and protecting the rights and human dignity for people with disabilities, women, children, youths, the elderly, victims of human trafficking and violence against women/men",NA,NA,"2410 S Kirkwood Rd Apt 260","Houston","TX","77077","erpdi@yahoo.com","(832) 758-0612","International","Deliberation,Advocacy,Research","Organizing & Advocacy",NA,NA,NA,NA,"Civil and Political Rights,Diversity & Inclusion",NA,NA,NA,NA,29.7589382,-95.3676974
"49","Every Voice Texas (d.b.a. Asian Texans for Justice)","87-2407966","501(c)(3)","d.b.a. Asian Texans for Justice","Practitioner Organization",NA,NA,"https://www.asiantexansforjustice.org/","We connect Asian and Pacific Islander Texans to civic action to build personal and political power.",NA,"Lily Trieu","4321 HOUSE OF YORK","AUSTIN","TX","78730","info@asiantexansforjustice.org",NA,"State - single","Youth Engagement,Leadership Training,Policy Advocacy and Analysis,Research,Communications,Dialogue,Narrative Storytelling,Community-Building / Networking,Education,Advocacy","Organizing & Advocacy",NA,NA,NA,NA,"Voter Engagement/Registration/Education,Diversity & Inclusion,Leadership Development for Healthy Democracy,Social Justice",NA,NA,NA,NA,30.2711286,-97.7436995
"50","For Love & Art","45-3765824","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://forloveandart.org/","For Love & Art's mission is to remain viable and sustainable bringing the Art Experience to people with limited mobility.  Our commitment is that all people embrace beauty, joy, and magic of life through the power of art.  We stimulate art appreciation while empowering caregivers to love people in creative and transformative ways.

We partner with museums worldwide and showcase their artworks individually, at the bedside, using Virtual Museum ArtBooks, or to groups of seniors in communal living in ""Celebrating the Art Experience"" interventions.

Engaging people to share their experiences while viewing art elevates their quality of life psychosocially, cognitively, spiritually, and physically.  

We approach art not from a context of education or aesthetic, but from therapeutic love.",NA,"Kym Shaw Day","4848 Lemmon Ave Ste 100 # 623","Dallas","TX","75219","hello@forloveandart.org","(855) 427-8669","Community/Local - multiple,International","Arts and Culture,Service and Volunteerism","Service & Volunteerism",NA,NA,NA,NA,"Social Isolation,Service & Volunteerism,Community Engagement and Community Building",NA,NA,NA,NA,32.7762719,-96.7968559
"51","Fort Bend Voters League","45-4659048","501(c)(4)",NA,"Practitioner Organization",NA,NA,"https://www.fortbendvoters.org/","Our goal is to register new voters in Fort Bend County and to inform and educate all voters.

We are a varied group of politically active voters who recognize and value the ever changing diversity in Fort Bend County, and wish to energize the
community to recognize that EVERY vote counts.",NA,NA,"2150 Town Square Blvd ,Suite 210","Sugar Land","TX","77479","fortbendvoters@gmail.com","(832) 598-4733","Community/Local - single","Dialogue,Communications,Issue Campaigns","Voter Engagement",NA,NA,NA,NA,"Voter Engagement/Registration/Education,Civic Forums for Discussion of Public Issues",NA,NA,NA,NA,29.6196787,-95.6349463
"52","Foundation of International Freedom","20-8049664","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://intlfreedom.org/","The mission of the Foundation for International Freedom (FIF) is to preserve and expand the core values of Western civilization. These values were set forth in the first ten amendments to the United States Constitution, the Bill of Rights, enacted by the Founding Fathers to protect the inherent rights of individuals against encroachment by their government.

The Revolutionary War was fought to gain these rights, but the fight for freedom is not over. Authoritarian governments around the world seek to retain and expand their powers while claiming that their kleptocratic rule benefits their people.

The United States has fought in two major wars to protect freedoms from tyranny and now, following the seventy-year period called Pax Americana, the Ukrainian people are fighting against a barbaric invasion by Russia to maintain their right to self-government. They deserve the support of all freedom-loving people.",NA,"Byron K. Varme","5861 Sugar Hill Dr","Houston","TX","77057","intlfreedom2@gmail.com",NA,"International","Research,Membership,Communications","Civic Research",NA,NA,NA,NA,"Patriotic Values,Defending Democracy from Authoritarianism",NA,NA,NA,NA,29.7589382,-95.3676974
"53","Free Enterprise Institute","74-1887755","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://thefreeenterpriseinstitute.org/","Founded in 1976, the Free Enterprise Institute’s mission is to preserve a free and virtuous American Republic. President George Washington said: “The preservation of the sacred fire of liberty, and the destiny of the republican model of government, are justly considered deeply, perhaps as finally, staked on the experiment entrusted to the hands of the American people.”",NA,"W. Winston Elliott III","9600 Long Point Rd Ste 300","Houston","TX","77055",NA,"(713) 984-1343",NA,"Education,Dialogue,Communications","Civic Education / Learning",NA,NA,NA,NA,"Leadership Development for Healthy Democracy,Civic Knowledge",NA,NA,NA,NA,29.7589382,-95.3676974
"54","Friends of Lake Sam Rayburn","85-3911858","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://www.facebook.com/FriendsOfLakeSamRayburn/","To bring together stakeholders in the welfare of Lake Sam Rayburn and provide a working forum through which they can operate effectively to promote and protect Lake Sam Rayburn, its tributaries and surrounding areas.",NA,NA,"120 Bayview Ct","Brookeland","TX","75931","FriendsOfLakeSamRayburn@gmail.com",NA,"Community/Local - single","Crowdfunding,Communications","Organizing & Advocacy",NA,NA,NA,NA,"Environmental Protection through Stakeholder and Citizen Engagement",NA,NA,NA,NA,31.1526918,-93.9935221
"55","Friends of Oakhurst Park (FOOP)","81-2505419","501(c)(3)","FOOP","Practitioner Organization",NA,NA,"http://www.friendsofoakhurstpark.org/","Friends of Oakhurst Park (FOOP) is a grassroots organization formed to maintain our City of Fort Worth neighborhood park when the City adopted policy to no longer irrigate our neighborhood park and to only mow once every three weeds. 

 The mission of Friends of Oakhurst Park (FOOP) is to maintain, promote, and protect Oakhurst Park in perpetuity.",NA,NA,"1805 Bluebonnet Dr","Fort Worth","TX","76111","friendsofoakhurstpark@gmail.com","(817) 312-4240","Community/Local - single",NA,"Civic Associations",NA,NA,NA,NA,"Community Engagement and Community Building,Service & Volunteerism",NA,NA,NA,NA,32.753177,-97.3327459
"56","Fuller Theological Seminary","95-1699394","501(c)(3)",NA,"Academic Institution,Parent Only",NA,NA,"https://www.fuller.edu/","Fuller Theological Seminary, embracing the School of Mission and Theology and School of Psychology and Marriage and Family Therapy, is an evangelical, multidenominational, international, and multiethnic community dedicated to the equipping of men and women for the manifold ministries of Christ and his church. Under the authority of Scripture we seek to fulfill our commitment to ministry through graduate education, professional development, and spiritual formation. In all of our activities, including instruction, nurture, worship, service, research, and publication, Fuller Theological Seminary strives for excellence in the service of Jesus Christ, under the guidance and power of the Holy Spirit, to the glory of the Father.",NA,"Dr. Mark Labberton","10200 Richmond Ave., Ste. 170","Houston","TX","77042","fullertx@fuller.edu","(713) 360-3400","""State - multiple, not region-specific""","Education","Faith-Based Efforts",NA,NA,NA,NA,"Faith-Based Organizing/Engagement/Advocacy",NA,NA,NA,NA,29.7589382,-95.3676974
"57","Galveston Golf Cart Society","87-3967098","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://www.galvestongolfcartsociety.org/","Galveston Golf Cart Society is a Texas 501c3 non profit organization that connects local golf cart owners who seek to support their community, advocate and set an example of golf cart safety and socialize while enjoying the island life.",NA,NA,"2415 38th St","Galveston","TX","77550","admin@galvestongolfcartsociety.org","(562) 607-9991",NA,"Funding,Membership,Service and Volunteerism","Service & Volunteerism",NA,NA,NA,NA,"Community Engagement and Community Building",NA,NA,NA,NA,29.3056996,-94.7933252
"58","George Bannerman Dealey Leadership Institute","85-1071642","501(c)(3)",NA,"Practitioner Organization",NA,NA,"http://georgedealey.org/","Our first purpose will be support world class public education and youth development through Montessori leadership programs.",NA,NA,"PO Box 12481","Dallas","TX","75225","george@georgedealey.org","(972) 863-1585","Community/Local - single","Dialogue,Education,Communications","Civic Education / Learning",NA,NA,NA,NA,"Leadership Development for Healthy Democracy",NA,NA,NA,NA,32.7762719,-96.7968559
"59","Glad Mission","81-4694548","501(c)(3)",NA,"Practitioner Organization",NA,NA,"http://gladmission.org/","GLAD is starting in churches by helping them evaluate their needs, and through strategic planning and programs educates, equips, and empowers people to be a positive impact in their communities effecting positive changes by helping them then get connected with the proper people and organizations. The change in the people attending the programs will not only cause them to serve and give outside of the church, but will also increase their giving and serving in the church. The program will also be offered in prisons and shelters as able. Once these programs are established and successful then GLAD will partner with churches and organizations in a specific region to do a free conference program in the community to reach those that wouldn’t otherwise be reached in a church, prison, or shelter program.",NA,NA,"700 N Lbj Dr Ste 112 # J","San Marcos","TX","78666",NA,"(512) 888-3388",NA,"Education","Faith-Based Efforts",NA,NA,NA,NA,"Faith-Based Organizing/Engagement/Advocacy",NA,NA,NA,NA,29.8826436,-97.9405828
"60","Good Deed Corps","85-4154233","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://thegooddeedcorps.org/","The Good Deed Corps is a non-partisan nonprofit voter engagement organization dedicated to building a strong, engaged civil society that embodies a diversity of voice and perspective. The Good Deed Corps provides the wrap-around services and civic infrastructure necessary to engage, inspire and empower young would-be voters to participate in the democratic process of voting.",NA,NA,"620 E Pecan Blvd","McAllen","TX","78502","info@thegooddeedcorps.org",NA,"""Regional (e.g. Midwest, South)""","Youth Engagement,Service and Volunteerism,Crowdfunding","Voter Engagement",NA,NA,NA,NA,"Voter Engagement/Registration/Education",NA,NA,NA,NA,26.204114,-98.2300605
"61","Good Politics","83-3917913","501(c)(4)",NA,"Practitioner Organization",NA,NA,"https://www.ourgoodpolitics.org/","GoodPolitics is a nonprofit dedicated to making the democratic process approachable, human, and fun. We believe every American plays a vital role in building a more equitable country, and we’re here to help you get started.",NA,NA,"1201 Tinnin Ford Rd Apt 10","Austin","TX","78741",NA,NA,"Community/Local - single","Communications,Education,Mental Health","Voter Engagement",NA,NA,NA,NA,"Voter Engagement/Registration/Education",NA,NA,NA,NA,30.2711286,-97.7436995
"62","Gtx Connect","82-0860142","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://gtxconnect.org/","To facilitate community problem solving by bridging the gaps between community members, government officials, and other organizations. We build on people’s strengths and aspirations by providing the support they need to become changemakers and leaders in the community.",NA,"Chuck Collins","805 W University Ave Ste 105","Georgetown","TX","78626","info@gtxconnect.org","(512) 591-0850","Community/Local - single","Dialogue,Service and Volunteerism","Civic Associations",NA,NA,NA,NA,"Bridging Divides,Community Engagement and Community Building,Immigrant Integration",NA,NA,NA,NA,30.6370152,-97.6775634
"63","Gulf Coast Organization","45-2436430","501(c)(3)",NA,"Funder,Practitioner Organization",NA,NA,"https://www.facebook.com/connect2gco/","The Gulf Coast Organization strives to effectuate positive social change across communities by creating prototype educational and career development initiatives that reach today’s youth and produce tomorrow’s leaders.  The Gulf Coast Organization provides invaluable education and career planning resources to communities across the Gulf Coast region.

Gulf Coast Organization (GCO) is a 501(c)(3) non-profit organization organized in the State of Texas. GCO is committed to help mold students to be responsible leaders and competitive candidates in the global market through our flagship program, Jump Start to a Great Start Initiative.

​Our Founder, Board Members, Ambassadors, and Volunteers are community-focused, service-driven, and supporters of equity and equality in education.",NA,NA,"PO Box 6775","Katy","TX","77491","GULFCOASTORG@GMAIL.COM","(281) 846-4116",NA,"Youth Engagement,Model Government/Mock Trial,Education,Funding","Civic Education / Learning",NA,NA,NA,NA,"Youth Engagement and Leadership",NA,NA,NA,NA,29.7857853,-95.8243956
"64","Habeshas Vote","87-2530033","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://www.facebook.com/habeshasvote/","Habesha Networks wants to ensure that our communities are informed and included in this year’s election process! This includes knowing the issues on the ballot, getting registered to vote and helping others get involved. That’s why we’re excited to announce a partnership between Habesha Networks and Habeshas Vote to empower eligible Habesha voters across the country to exercise their right to vote and stay informed about various civic engagement opportunities in their respective communities. 

This bipartisan effort is intended to connect our communities with the civic engagement process so that we can not only see the change our communities need and deserve, but take an active role in making them happen! Our voices matter so it’s important we unite together to speak up and vote for the change we want to see!",NA,NA,"1131 FORESTER DR","DALLAS","TX","75216","habeshasvote.us@gmail.com",NA,"National",NA,"Voter Engagement",NA,NA,NA,NA,"Voter Engagement/Registration/Education",NA,NA,NA,NA,32.7762719,-96.7968559
"65","Harris County Citizens for Public Safety","88-2291310","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://www.harriscountysafety.com/","Harris County Citizens for Public Safety is a 501c(3) nonprofit, dedicated to raising awareness on issues affecting the general safety and well-being of the Harris County community. We are proud to work with various community members and city partners to promote public safety, neighborhood safety, and educate Harris County residents on best practices. We believe all three of these issues go hand-in-hand towards fostering a well-rounded, vibrant community. The vision for Harris County Citizens for Public Safety is to work for the public, keeping the community aware of issues that affect our safety, health, and prosperity. We believe Harris County is the best county to plant a business, raise a family, and participate in the American dream.",NA,"Glenn Cowan","527 Remington Trl","Huffman","TX","77336","info@harriscountysafety.com",NA,"Community/Local - single","Education,Community-Building / Networking","Civic Associations",NA,NA,"public safety/security; - resolved 05.02",NA,"Safety and Security",NA,NA,NA,NA,30.0271626,-95.0857627
"66","Hays County Womens Political Caucus","37-2067766","501(c)(3)",NA,"Practitioner Organization","Chapter","National Women's Political Caucus (NWPC)","https://www.facebook.com/hcwpc/","HCWPC is a local branch of the National Women's Political Caucus. We are non-partisan and focus on increasing women's political power base.",NA,NA,"PO Box 3229","San Marcos","TX","78667","hayswpc@gmail.com",NA,"Community/Local - single","Communications","Organizing & Advocacy",NA,NA,NA,NA,"Diversity & Inclusion,Civil and Political Rights,Voter Engagement/Registration/Education",NA,NA,NA,NA,29.8826436,-97.9405828
"67","High Twelve International","04-3827413","501(c)(10)",NA,NA,NA,NA,NA,NA,NA,NA,"114 Frederick Rd","Fredericksburg","TX","78624",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.2752011,-98.8719843
"68","Hispanic Republican Club of North Texas","82-5362435","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://www.facebook.com/HRCNT","The mission of the Hispanic Republican Club of North Texas is to influence, educate, promote, and support both policies and elected officials that advance the rule of law, provide for the core functions of government in a fiscally responsible manner, and represent citizens with transparency and integrity.",NA,NA,"PO Box 941081","Plano","TX","75094","hispanicgop01@gmail.com","(561) 843-1288","Community/Local - single","Dialogue,Communications","Deliberative/Participatory/Direct Democracy",NA,NA,NA,NA,"Voter Engagement/Registration/Education,Responsive Governance",NA,NA,NA,NA,33.0136764,-96.6925096
"69","Houston Democratic Socialists of America","82-2636317","501(c)(4)",NA,"Practitioner Organization","Chapter","Democratic Socialists of America","https://houstondsa.org/","We’re the Houston chapter of the Democratic Socialists of America, the largest socialist organization in the country. We fight for more democracy — in our workplaces, communities, and politics. We believe that capitalism is a problem, and have a vision based on solidarity, radical democracy, and liberation. Our members are building and supporting working class movements for social change while establishing an openly socialist presence locally in Houston through activism, political education, and community organization, and politics.",NA,NA,"PO Box 8659","Houston","TX","77249","info@houstondsa.org","(713) 309-6639","Community/Local - single","Policy Advocacy and Analysis,Organizing,Advocacy,Communications","Organizing & Advocacy",NA,NA,NA,NA,"Community Organizing,Social Justice",NA,NA,NA,NA,29.7589382,-95.3676974
"70","Houston Endowment","74-6013920","501(c)(3)",NA,"Funder","Local/Community Organization",NA,"https://www.houstonendowment.org/","Our mission is to enhance the vibrancy of Greater Houston and advance equity of opportunity for the people who live here. Access to an excellent education drives opportunities for our residents. Robust civic participation helps shape our region’s future. Strong arts, cultural organizations, and greenspaces enhance the vibrancy of our region.
",NA,"Meghna Goswami","3683 WILLIA ST","HOUSTON","TX","77007",NA,NA,NA,"Funding","Civic Associations,Civic Education / Learning","Private Foundation",NA,NA,NA,"Immigrant Integration,Voter Engagement/Registration/Education,Community Engagement and Community Building,Civic Infrastructure Development",NA,NA,NA,NA,29.7589382,-95.3676974
"71","Houston in Action Network","87-3022489","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://www.houstoninaction.org/","We facilitate the collective action of local organizations and actors to promote community leadership and break down systemic barriers to civic participation so that every resident, regardless of social identity, has equal opportunity to engage in and have a meaningful impact on civic life.",NA,"Frances Valdez","942 Hillstar Street","Houston","TX","77009",NA,NA,"Community/Local - single","Advocacy,Organizing,Narrative Storytelling,Leadership Training,Policy Advocacy and Analysis","Organizing & Advocacy",NA,NA,NA,NA,"Community Organizing,Racial Equity,Voter Engagement/Registration/Education,Election Protection",NA,NA,NA,NA,29.7589382,-95.3676974
"72","Institute for Civility in Government","76-0556192","501(c)(3)",NA,"Funder,Practitioner Organization",NA,NA,"https://www.instituteforcivility.org/","The Institute for Civility is dedicated to reducing polarization by facilitating dialogue, teaching respect, and building civility in both public and private spheres.

We focus on two key threats to civic life in the United States: (1) persistent and growing polarization along lines of race, class, religion, age, and ideology; and, (2) lack of participation in government at all levels—local, state, and national. Apathy and antipathy put our nation at risk. Therefore, we strive to educate Americans about their role in civil society and equip them to participate effectively in it.",NA,"Tomas Spath,Cassandra Dahnke","P.O. Box 41804","Houston","TX","77241-1804","info@instituteforcivility.org",NA,"National","Education,Dialogue,Youth Engagement,Model Government/Mock Trial","Civic Education / Learning",NA,NA,NA,NA,"Civic Forums for Discussion of Public Issues,Civic Education","FixUS,Listen First Coalition",NA,NA,NA,29.7589382,-95.3676974
"73","International Society for Individual Liberty","54-1512492","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://liberty-intl.org/","Finding and Expanding Freedom in An Unfree World.",NA,"Jacek Spendel","539 W COMMERCE STREET STE 6427","DALLAS","TX","75208","info@liberty-intl.org","(602) 516-4341","International","Education,Research,Dialogue","Civic Education / Learning",NA,NA,NA,NA,"Youth Engagement and Leadership,Civic Education,Free Markets and Economic Growth",NA,NA,NA,NA,32.7762719,-96.7968559
"74","Japan-American Society of San Antonio","74-2450599","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://www.jas-sa.org/","Building a community for those who support, facilitate and promote Japanese culture, education and business in the greater San Antonio area.",NA,"Yuko Kawabe","PO Box 460444","San Antonio","TX","78246",NA,NA,"Community/Local - single","Arts and Culture,Youth Engagement,Education","Civic Associations",NA,NA,NA,NA,"Diversity & Inclusion,Community Engagement and Community Building,Youth Engagement and Leadership",NA,NA,NA,NA,29.4246002,-98.4951405
"75","Jolt Initiative","82-1708759","501(c)(3)",NA,"Practitioner Organization",NA,NA,"https://www.joltinitiative.org/","Jolt Initiative believes young Latinos will transform Texas through the power of their vote. Together we are building a democracy that represents the voices and values of our diverse state.",NA,NA,"PO Box 4185","Austin","TX","78765","info@jolttx.org",NA,"State - single","Organizing,Youth Engagement,Leadership Training,Research","Voter Engagement",NA,NA,NA,"Progressive","Voter Engagement/Registration/Education,Voting Rights and Voter Participation,Civil and Political Rights",NA,NA,NA,NA,30.2711286,-97.7436995
"76","Jolt Action","81-4715525","501(c)(4)",NA,"Practitioner Organization",NA,NA,"https://jolttx.org/","Jolt gives Latinos the power to make change, so we can have a say in how Texas is run.  Jolt brings Latinos together across Texas to win on the issues that matter.  Jolt doesn’t stand for any one party or politician. It stands for the community, families and parents who worked hard to give their children a better life.",NA,"Diana Maldonado","PO Box 4185","Austin","TX","78765","info@jolttx.org",NA,"State - single","Leadership Training,Youth Engagement,Organizing,Arts and Culture","Voter Engagement",NA,NA,NA,"Progressive","Voter Engagement/Registration/Education,Voting Rights and Voter Participation,Civil and Political Rights","MVP",NA,NA,NA,30.2711286,-97.7436995
"77","Just Liberty","81-3982567","501(c)(4)",NA,"Practitioner Organization",NA,NA,"https://justliberty.org/","AT JUST LIBERTY, WE WANT A CRIMINAL JUSTICE SYSTEM WHICH PROTECTS FAMILIES INSTEAD OF DISRUPTING THEM, TREATS EVERYONE FAIRLY, REWARDS PERSONAL RESPONSIBILITY, AND PROMOTES LIBERTY, JUSTICE, AND RESPECT FOR HUMAN DIGNITY.",NA,NA,"PO Box 13551","Austin","TX","78711",NA,NA,"State - single","Public Petition,Podcasts/Radio,Advocacy","Organizing & Advocacy",NA,NA,NA,NA,"Civil and Political Rights,Judicial Integrity/Neutrality/Reform",NA,NA,NA,NA,30.2711286,-97.7436995
