Name,EIN,Tax Class/Subsection,Shorthand,Type,Sub-Type,Parent Org,Website,Mission/Description,Network Founder,People,Street Address,City,State,Zip Code,General Contact Email,Org Phone,Location Scope,Methods,Category of Work,Funder Type,FLAG FOR REVIEW,Reason for flag/review,Self-Identified Ideology,Goals,Network Membership,Organization does not exist,Organization does not meet criteria for inclusion,Notes about not meeting criteria,Latitude,Longitude,Goal Created by AI
Woodmen of the World Life Insurance Society,23-7630204,501(c)(8),,Practitioner Organization,Chapter,,,,,,7808 Mullen Dr,Austin,TX,78757,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,30.2711286,-97.7436995,
Young Americans for Liberty,26-2417908,501(c)(4),,Practitioner Organization,Campus Initiative,,https://yaliberty.org/,"Young Americans for Liberty (YAL) is the most active and effective libertarian youth organization advancing liberty on campus and in American electoral politics. Our four-step mission is to identify, educate, train, and mobilize youth activists to make liberty win.",,,500 N Capital of Texas Hwy,Austin,TX,78746,contact@yaliberty.org,(512) 637-5217,National,"Membership,Education,Youth Engagement,Leadership Training,Advocacy",Civic Education / Learning,,,,,"Youth Engagement and Leadership,Leadership Development for Healthy Democracy",,,,,30.2711286,-97.7436995,
Youth Rise Texas (YRTX),83-0663313,,YRTX,Practitioner Organization,,,https://youthrisetx.org/,Youth Rise Texas works to create the conditions for young people to rise from systems of oppression. Our leadership pipeline works to put youth at the forefront of healing our communities and winning demands that safeguard or realize rights. That work includes programs that aim to end the systems that criminalize people of color and those who are undocumented.,,Darriana Donegan,P.O. Box 144411,Austin,TX,78714,info@youthrisetx.org,(512) 843-2319,State - single,"Advocacy,Community-Building / Networking,Mental Health,Youth Engagement,Dialogue,Organizing,Leadership Training",Organizing & Advocacy,,,,,"Youth Engagement and Leadership,Social Justice,Healing Justice,Leadership Development for Healthy Democracy,Civil and Political Rights",MVP,,,,30.2711286,-97.7436995,
Woodmen of the World Life Insurance Society,23-7630166,501(c)(8),,Practitioner Organization,Chapter,,,,,,13030 US HIGHWAY 82 E,AVERY,TX,75554,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,33.5509535,-94.7797028,
Woodmen of the World Life Insurance Society,23-7630249,501(c)(8),,Practitioner Organization,Chapter,,,,,,PO Box 873,Bandera,TX,78003,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,29.7270068,-99.0724586,
League of Independent Voters of Texas,46-3596273,501(c)(4),,Practitioner Organization,,,https://www.livtx.org/,"LIV is a 501c4 nonprofit, nonpartisan membership association dedicated to bringing about competitive elections and a multi-party system. 

We remain open to organizing on any issue with the intention of bringing all points of view to build consensus unrestricted from special interest influence.",,Linda Curtis,150 S SHORE RD,BASTROP,TX,78602,contact@livtx.org,(512) 213-4511,State - single,"Public Petition,Advocacy",Electoral Reform,,,,,"Electoral Reform,Voter Engagement/Registration/Education,Public Opinion",NANR,,,,30.1104947,-97.3152701,
South East Texas Regional Planning Commission,741675043,,,,,,,,,,,Beaumont,TX,77703,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,30.0860459,-94.1018461,
Woodmen of the World Omaha Woodmen Life Insurance Society,23-7630183,501(c)(8),,Practitioner Organization,Chapter,,,,,,809 W Huntington St,Beeville,TX,78102,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,28.4008319,-97.7483312,
iEducate,462983260,,,,,,,,,,,Bellaire,TX,77401,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,29.7057858,-95.4588299,
Woodmen of the World Life Insurance Society,23-7630209,501(c)(8),,Practitioner Organization,Chapter,,,,,,PO Box 711,Bertram,TX,78605,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,30.7437645,-98.0554349,
Kendall County Citizens Law Enforcement Academy Alumni Associa,37-1792839,501(c)(3),,Practitioner Organization,,,https://kccleaaa.org/,"The purpose of the KCCLEAAA is to support the law enforcement agencies of Kendall County Texas in such non-enforcement activities as requested and directed by the Kendall County Sheriff's Office, the Boerne Police Department and The Fair Oaks Ranch Police Department. 

The KCCLEAAA and its members will assist Kendall County law enforcement agencies with activities such as civic and community events and other initiatives deemed appropriate by the agencies we serve in Kendall County Texas.",,,PO Box 1062,Boerne,TX,78006,,​210-628-9498,,"Education,Community-Building / Networking,Service and Volunteerism",Civic Associations,,,public safety goal - tagged/resolved 05.02,,"Community Engagement and Community Building,Safety and Security",,,,,29.7946641,-98.7319703,
Woodmen of the World Life Insurance Society 0014,23-7630164,501(c)(8),,Practitioner Organization,Chapter,,,,,,RR T Box 363,Bonham,TX,75418,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,33.5822077,-96.1785028,
Brazoria County Cavalry,41-2267864,501(c)(3),,Practitioner Organization,,,https://brazoriacountycavalry.org/,"Brazoria County Cavalry exists to assist the families of Brazoria County, Texas who have family members that are serving, or have served in the Military, or  Law Enforcement, Firefighters or EMT's in Brazoria County, Texas by organizing the local motorcycle community and other Patriots to come together and provide escorts for their loved one(s) in times of sorrow or celebration at the family's request.",,Tracy Read,2916 County Road 604,Brazoria,TX,77422,,,,"Service and Volunteerism,Membership",Service & Volunteerism,,,,,Patriotic Values,,,,,29.0444147,-95.5691126,
Woodmen of the World Life Insurance Society,65-1203946,501(c)(8),,Practitioner Organization,Chapter,,,,,,704 E Sixth St,Brenham,TX,77833,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,30.1668828,-96.3977442,
Woodmen of the World Life Insurance Society,65-1188153,501(c)(8),,Practitioner Organization,Chapter,,,,,,704 E Sixth St,Brenham,TX,77833,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,30.1668828,-96.3977442,
Woodmen of the World Life Insurance Society,23-7630299,501(c)(8),,Practitioner Organization,Chapter,,,,,,1670 Salem Rd,Brenham,TX,77833,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,30.1668828,-96.3977442,
Woodmen of the World Life Insurance Society,23-7630494,501(c)(8),,Practitioner Organization,Chapter,,,,,,PO Box 1977,Brenham,TX,77834,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,30.1668828,-96.3977442,
Friends of Lake Sam Rayburn,85-3911858,501(c)(3),,Practitioner Organization,,,https://www.facebook.com/FriendsOfLakeSamRayburn/,"To bring together stakeholders in the welfare of Lake Sam Rayburn and provide a working forum through which they can operate effectively to promote and protect Lake Sam Rayburn, its tributaries and surrounding areas.",,,120 Bayview Ct,Brookeland,TX,75931,FriendsOfLakeSamRayburn@gmail.com,,Community/Local - single,"Crowdfunding,Communications",Organizing & Advocacy,,,,,Environmental Protection through Stakeholder and Citizen Engagement,,,,,31.1526918,-93.9935221,
Proyecto Juan Diego,810606967,,,,,,,,,,,Brownsville,TX,78526,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,25.9024289,-97.4981698,
Texas Southmost College District,746002593,,,,,,,,,,,Brownsville,TX,78520,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,25.9024289,-97.4981698,
"United Way of the Brazos Valley, INC.",742050241,,,,,,,,,,,Bryan,TX,77802,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,30.6743643,-96.3699632,
Woodmen of the World Life Insurance Society,65-1260484,501(c)(8),,Practitioner Organization,Chapter,,,,,,PO Box 7195,Bryan,TX,77805,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,30.6743643,-96.3699632,
Woodmen of the World Life Insurance Society,23-7630200,501(c)(8),,Practitioner Organization,Chapter,,,,,,107 Spring Valley Run,Bullard,TX,75757,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,32.1403019,-95.3221898,
Woodmen of the World Life Insurance Society,74-2400322,501(c)(8),,Practitioner Organization,Chapter,,,,,,1800 Century Farms Rd,Burton,TX,77835,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,32.2934786,-97.444463,
Republicans United for Texas,82-2397168,501(c)(3),,Practitioner Organization,,,https://ru4tx.org/,"1. To educate and raise awareness of Republican values and policies by promoting events and programs to develop a greater sense of community for fellow members.
2. To support education and outreach to the younger generation through scholarship opportunities as well as other viable means that increase knowledge about Republican ideals and values.
3. To educate members about the political process and teach efficient techniques that empower their efforts encouraging like-minded voters to get out and vote during all stages of the election process.
4. To promote interactions between the community and elected officials.
5. To promote cooperation understanding between all Republicans by promoting a civil discourse on issues of vital interest to members at meetings and through various forums.",,,PO Box 952,Caldwell,TX,77836,,,State - single,"Youth Engagement,Education",Civic Education / Learning,,,,,"Patriotic Values,Youth Engagement and Leadership,Responsive Governance",,,,,30.5305813,-96.6969703,
West Texas A & M University,756031405,,,,,,,,,,,Canyon,TX,79016,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,34.9799429,-101.919197,
Crrc of Canyon Lake,57-1148206,501(c)(3),,Practitioner Organization,,,https://www.crrcofcanyonlake.org/,"Our Mission:  To serve the residents of Canyon Lake by providing vital social service resources as well as life-enriching recreational and educational opportunities.
We serve the Canyon Lake, TX area; specifically the zip codes of 78133, 78623 and portions of 78132.",,Tiffany Quiring,1917 FM 2673,Canyon Lake,TX,78133,operations@crrcofcanyonlake.org,(830) 964-2324,,"Service and Volunteerism,Food Justice and Access","Service & Volunteerism,Civic Associations",,,,,Service & Volunteerism,,,,,29.8643185,-98.2437802,
Woodmen of the World Life Insurance Society,75-2092545,501(c)(8),,Practitioner Organization,Chapter,,,,,,4430 State Highway 7 E,Center,TX,75935,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,31.7952814,-94.1803576,
Woodmen of the World Life Insurance Society,23-7630155,501(c)(8),,Practitioner Organization,Chapter,,,,,,103 Laguna Vista Ct,Chico,TX,76431,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,33.2959463,-97.7989236,
Woodmen of the World Omaha Woodmen Life Insurance Society,23-7630515,501(c)(8),,Practitioner Organization,Chapter,,,,,,103 Laguna Vista Ct,Chico,TX,76431,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,33.2959463,-97.7989236,
Woodmen of the World Omaha Woodman Life Insurance Society,74-2542581,501(c)(7),,,,,,To promote the values of WoodmenLife,,,700 W FM 78 Ste 200,Cibolo,TX,78108,,,Community/Local - single,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,29.5707831,-98.2330927,
Opportunity Resource Services,273827740,,,,,,,,,,,Cleburne,TX,76033,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,32.35747395,-97.4091960984105,
Woodmen of the World Life Insurance Society,75-2652474,501(c)(8),,Practitioner Organization,Chapter,,,,,,PO Box 53,Cleburne,TX,76033,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,32.3474463,-97.3865494,
Woodmen of the World Omaha Woodmen Life Insurance Society,23-7630462,501(c)(8),,Practitioner Organization,Chapter,,,,,,PO Box 53,Cleburne,TX,76033,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,32.3474463,-97.3865494,
CORNERSTONE COMMUNITY ACTION AGENCY INC,751230663,,,,,,,,,,,Coleman,TX,76834,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,31.8310249,-99.4244712,
League of Women Voters of Brazos Valley,23-7001603,501(c)(4),,Practitioner Organization,Chapter,,https://www.facebook.com/LWVofBVTX/,Empowering Voters. Defending Democracy. One vote at a time.,,,PO Box 9286,College Station,TX,77842,LWVofBVTX@gmail.com,,Community/Local - single,"Advocacy,Communications,Dialogue",Voter Engagement,,,,,"Voter Engagement/Registration/Education,Diversity & Inclusion,Civic Forums for Discussion of Public Issues",,,,,30.6183939,-96.3455991,
Dispute Resolution Center of Montgomery County,76-0251562,501(c)(3),,Practitioner Organization,,,https://resolution-center.org/,"To provide and promote affordable, high-quality conflict resolution training and services in the Montgomery County area.",,Elaine B.  Roberts,301 N Thompson St Ste 106,Conroe,TX,77301,mediate@mctx.org,(936) 760-6914,Community/Local - multiple,"Mediation and Conflict Resolution,Professional Training",Connecting Across Differences,,,,,Conflict Resolution and Peacebuilding,,,,,30.3118769,-95.4560512,
Woodmen of the World Life Insurance Society,23-7630163,501(c)(8),,Practitioner Organization,Chapter,,,,,,16249 FM 1484 Rd,Conroe,TX,77303,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,30.3118769,-95.4560512,
CITIZENS FOR EDUCATIONAL EXCELLENCE,753137924,,,,,,,,,,,Corpus Christi,TX,78410,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,27.7635302,-97.4033191,
"Corpus Christi, City of",746000574,,,,,,,,,,,Corpus Christi,TX,78401,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,27.7635302,-97.4033191,
League of Women Voters of Corpus Christi,74-6059179,501(c)(3),,Practitioner Organization,Chapter,,https://lwv-cctx.clubexpress.com/,"Mission
Empowering voters. Defending democracy.

Vision
We envision a democracy where every person has the desire, the right, the knowledge and the confidence to participate.

Value
We believe in the power of women to create a more perfect democracy.",,Alice F Hawkins,PO Box 8276,Corpus Christi,TX,78468,lwvcorpuschristi@gmail.com,(361) 445-4436,State - single,"Advocacy,Organizing,Membership",Voter Engagement,,,,,"Voter Engagement/Registration/Education,Diversity & Inclusion,Electoral Reform",,,,,27.7635302,-97.4033191,
Woodmen of the World Life Insurance Society,23-7630264,501(c)(8),,Practitioner Organization,Chapter,,,,,,5113 Moultrie Dr,Corpus Christi,TX,78413,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,27.7635302,-97.4033191,
Woodmen of the World Life Insurance Society 6022,23-7630534,501(c)(8),,Practitioner Organization,Chapter,,,,,,4030 Sandy Hollow Dr,Corpus Christi,TX,78410,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,27.7635302,-97.4033191,
Woodmen of the World Life Insurance Society,23-7630157,501(c)(8),,Practitioner Organization,Chapter,,,,,,102 SE County Road 3090,Corsicana,TX,75109,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,32.091299,-96.4646821,
Woodmen of the World Life Insurance Society,73-1639107,501(c)(8),,Practitioner Organization,Chapter,,,,,,PO Box 224,Crockett,TX,75835,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,31.318017,-95.4572993,
Woodmen of the World Omaha Woodmen Life Insurance Society,23-7630327,501(c)(8),,Practitioner Organization,Chapter,,,,,,321 E Crockett St,Crystal City,TX,78839,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,28.6834097,-99.8274585,
Woodmen of the World Life Insurance Society,23-7630295,501(c)(8),,Practitioner Organization,Chapter,,,,,,PO Box 404,Cuero,TX,77954,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,29.0938036,-97.2900564,
Woodmen of the World Life Insurance Society,74-2396650,501(c)(8),,Practitioner Organization,Chapter,,,,,,PO Box 224,D Hanis,TX,78850,,,,Service and Volunteerism,Service & Volunteerism,,,chapter organization to be batched;,,Service & Volunteerism,,,,,29.3305124,-99.2797627,
Carry On,83-4245874,501(c)(3),,"Practitioner Organization,Funder",,,https://www.carryon-usa.org/?fbclid=IwAR3OwIC10I-FUQUYnsexXD5XGAt7b7_LMbqqh4eh6Lhrpkqckxrhikx_uNA,"The Carry On mission is to honor the sacrifice of our nation's fallen military, law enforcement and first responders through advocacy, mentorship and empowerment of surviving families.",,"""Jeremy
  Soles""",877 LAKE TERRACE DR,DALLAS,TX,75218,,,National,"Commemoration,Community-Building / Networking",Service & Volunteerism,,,,,"Patriotic Values,Service & Volunteerism",,,,,32.7762719,-96.7968559,
Habeshas Vote,87-2530033,501(c)(3),,Practitioner Organization,,,https://www.facebook.com/habeshasvote/,"Habesha Networks wants to ensure that our communities are informed and included in this year’s election process! This includes knowing the issues on the ballot, getting registered to vote and helping others get involved. That’s why we’re excited to announce a partnership between Habesha Networks and Habeshas Vote to empower eligible Habesha voters across the country to exercise their right to vote and stay informed about various civic engagement opportunities in their respective communities. 

This bipartisan effort is intended to connect our communities with the civic engagement process so that we can not only see the change our communities need and deserve, but take an active role in making them happen! Our voices matter so it’s important we unite together to speak up and vote for the change we want to see! ",,,1131 FORESTER DR,DALLAS,TX,75216,habeshasvote.us@gmail.com,,National,,Voter Engagement,,,,,Voter Engagement/Registration/Education,,,,,32.7762719,-96.7968559,
International Society for Individual Liberty,54-1512492,501(c)(3),,Practitioner Organization,,,https://liberty-intl.org/,Finding and Expanding Freedom in An Unfree World.,,Jacek Spendel,539 W COMMERCE STREET STE 6427,DALLAS,TX,75208,info@liberty-intl.org,(602) 516-4341,International,"Education,Research,Dialogue",Civic Education / Learning,,,,,"Youth Engagement and Leadership,Civic Education,Free Markets and Economic Growth",,,,,32.7762719,-96.7968559,
Public Affairs Luncheon Club,75-1769715,501(c)(3),,Practitioner Organization,,,https://dpalc.com/,"The organization’s mission is to maintain an educational and non partisan organization to encourage members to take a thoughtful, informed and active interest in the affairs and functions of government; to conduct regular meetings for the purpose of study, discussion and comment on current events in the light of history, science and experience; to provide members lectures by eminent and outstanding professional and business authorities on subjects of current importance and interest as well as historical, scientific and economic background.",,Tina Peterson,PO BOX 19626,DALLAS,TX,75225,president@dpalc.com,(469) 544-3222,Community/Local - single,"Education,Dialogue,Community-Building / Networking",Civic Education / Learning,,,,,Civic Education,,,,,32.7762719,-96.7968559,
Act in Our Community,85-1327345,501(c)(3),,Practitioner Organization,,,https://www.actinourcommunity.org/,"We are more than a non-profit. We are a direct action group dedicated to community restoration, social engagement, and fighting hunger in Southeast Dallas. Through our recovery facility, community garden, and urban farm we aim to bridge the gap between donors and our on-the-ground efforts to make maximum impact. ",,J. Winston  Booth,821 Clearfield Rd,Dallas,TX,75217,info@actinourcommunity.org,(940) 202-9271,,"Service and Volunteerism,Research",Service & Volunteerism,,,,,"Service & Volunteerism,Community Engagement and Community Building",,,,,32.7762719,-96.7968559,
Advocate Foundation,20-5245262,501(c)(3),,Practitioner Organization,,,https://dallasfreepress.com/,Our nonprofit journalism amplifies voices in divested Dallas neighborhoods and explores solutions to our city’s systemic inequities.,,Keri Mitchell,6301 Gaston Ave Ste 850,Dallas,TX,75214,info@dallasfreepress.com,469-290-4553‬,State - single,"Journalism,Communications",Civic Media,,,,,Civic Journalism,,,,,32.7762719,-96.7968559,
American Heart Association,135613797,,,,,,,,,,,Dallas,TX,75231,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,32.7762719,-96.7968559,
Better Block Foundation,47-4885264,501(c)(3),,Practitioner Organization,,,https://www.betterblock.org/,"Better Block Foundation is a 501(c)3 nonprofit that educates, equips, and empowers communities and their leaders to reshape and reactivate built environments to promote the growth of healthy and vibrant neighborhoods.",,Krista Nightengale,1723 S Ewing Ave,Dallas,TX,75216,Info@betterblock.org,(214) 941-4849,National,"Cross-sector collaboration,Education,Arts and Culture,Technology,Community-Building / Networking",Civic Associations,,,,,"Service & Volunteerism,Community Engagement and Community Building,Economic Democracy,Social Justice",,,,,32.7762719,-96.7968559,
Capital Connections Roundtable,84-3461607,501(c)(3),,Practitioner Organization,,,https://www.linkedin.com/company/capital-connections-roundtable/,"The Capital Connections Roundtable promotes civic engagement, corporate citizenship, and social responsibility by convening a regular monthly forum for professionals of influence to engage in discussion of events and trends occurring at the intersection of government, business, and the voluntary sector.",,Todd Foster,1901 N Akard St,Dallas,TX,75201,,,,"Education,Dialogue,Cross-sector collaboration,Community-Building / Networking",Civic Associations,,,"What is the minimum amount of information that we feel is vital to include an organization? Valid candid entry, but formal website it defunct; only able to access info through LinkedIn profile; ",,"Corporate Responsibility for Democracy,Leadership Development for Healthy Democracy",,,,,32.7762719,-96.7968559,
Citizentex Fund,85-1061007,501(c)(3),,Practitioner Organization,,,https://citizentex.org/about/,"CitizenTex Fund is a 501(c)(3) non-profit organization committed to democratic values and increasing civic & electoral engagement through voter registration, public education and community building.",,,2400 S Ervay St Apt 208,Dallas,TX,75215,info@citizentex.org,,State - single,,Voter Engagement,,,,,"Voter Engagement/Registration/Education,Community Engagement and Community Building,Civic Education",,,,,32.7762719,-96.7968559,
CitySquare,752332948,,,,,,,,,,,Dallas,TX,75226,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,32.7762719,-96.7968559,
Clean Elections Texas,27-1231640,501(c)(4),,Practitioner Organization,,,https://cleanelectionstx.org/,"Clean Elections Texas (CETex) is a grassroots, nonpartisan, nonprofit organization advocating for transparency and accountability in government.

We promote the accessibility, fairness, and protection of the freedom to vote in elections at all levels, and we connect local, state, and national organizations to our Texas voters. We believe in the power of strong coalitions dedicated to collective action to protect and strengthen our democratic institutions.",,,P.O. Box 603042,Dallas,TX,75214,,,,,Electoral Reform,,,,,"Election Protection,Electoral Reform","Declaration for American Democracy,Fair Maps Texas",,,,,,
Clean Elections Texas Education Fund,27-1231730,501(c)(3),,Practitioner Organization,,,,,,,P.O. Box 603042,Dallas,TX,75214,,,,,,,,,,,,,,,,,
Collective Activism,84-4304497,501(c)(3),,Funder,,,https://www.facebook.com/CollectiveActivismSocialJusticeCoordinationCenter/,"We provide resources to victims of social injustice, under served communities, and to those that are financially destitute. We also provide educational opportunities to youth and adults and recources for the formerly incarcerated. ",,,5207 Grovewood St,Dallas,TX,75210,info@collectiveactivism.com,(469) 364-0270,,"Crowdfunding,Communications,Education,Dialogue",Deliberative/Participatory/Direct Democracy,,,,,"Social Mobility,Social Justice,Civic Forums for Discussion of Public Issues,Civic Infrastructure Development,Public Health",,,,,32.7762719,-96.7968559,
Equal Heart,462846816,,,,,,,,,,,Dallas,TX,75220,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,32.7762719,-96.7968559,
Faith in Texas (Faith in TX),47-3005234,501(c)(3),Faith in TX,Practitioner Organization,,,https://faithintx.org/,Faith in TX organizes and builds power with “the people” so that we “the people” will have greater access to the power to govern our shared society.,,,"3800 Commerce St, Suite 307",Dallas,TX,75726,fhussain@faithintx.org,(972) 803-8783,State - single,"Leadership Training,Issue Campaigns,Advocacy,Narrative Storytelling,Organizing,Dialogue",Faith-Based Efforts,,,,,"Interfaith Organizing/Engagement,Social Justice,Leadership Development for Healthy Democracy,Transparency and Addressing Mis/Disinformation",MVP,,,,32.7762719,-96.7968559,
For Love & Art,45-3765824,501(c)(3),,Practitioner Organization,,,https://forloveandart.org/,"For Love & Art's mission is to remain viable and sustainable bringing the Art Experience to people with limited mobility.  Our commitment is that all people embrace beauty, joy, and magic of life through the power of art.  We stimulate art appreciation while empowering caregivers to love people in creative and transformative ways.

We partner with museums worldwide and showcase their artworks individually, at the bedside, using Virtual Museum ArtBooks, or to groups of seniors in communal living in ""Celebrating the Art Experience"" interventions.

Engaging people to share their experiences while viewing art elevates their quality of life psychosocially, cognitively, spiritually, and physically.  

We approach art not from a context of education or aesthetic, but from therapeutic love.",,Kym Shaw Day,4848 Lemmon Ave Ste 100 # 623,Dallas,TX,75219,hello@forloveandart.org,(855) 427-8669,"Community/Local - multiple,International","Arts and Culture,Service and Volunteerism",Service & Volunteerism,,,,,"Social Isolation,Service & Volunteerism,Community Engagement and Community Building",,,,,32.7762719,-96.7968559,
George Bannerman Dealey Leadership Institute,85-1071642,501(c)(3),,Practitioner Organization,,,http://georgedealey.org/,Our first purpose will be support world class public education and youth development through Montessori leadership programs.,,,PO Box 12481,Dallas,TX,75225,george@georgedealey.org,(972) 863-1585,Community/Local - single,"Dialogue,Education,Communications",Civic Education / Learning,,,,,Leadership Development for Healthy Democracy,,,,,32.7762719,-96.7968559,
GIRL SCOUTS OF NORTHEAST TEXAS,751101571,,,,,,,,,,,Dallas,TX,75252,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,32.7762719,-96.7968559,
Homeward Bound,742127841,,,,,,,,,,,Dallas,TX,75212,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,32.7762719,-96.7968559,
League of Women Voters of Dallas,75-1876278,501(c)(3),,Practitioner Organization,Chapter,,https://www.lwvdallas.org/,"The mission of the League of Women Voters of Dallas is empowering voters and defending democracy.

Whatever our color, background or zip code, in America we value our freedom to vote, and to have a say in decisions that impact our  lives from election laws, redistricting, the environment and access to affordable housing and health care.",,Sandy Thornton,6060 N Central Expy Ste 500,Dallas,TX,75206,,(214) 688-4125,,"Education,Advocacy,Communications,Policy Advocacy and Analysis,Service and Volunteerism",Voter Engagement,,,,,"Voter Engagement/Registration/Education,Civic Education,Diversity & Inclusion,Transparency and Addressing Mis/Disinformation",,,,,32.7762719,-96.7968559,
March To the Polls,86-3898144,501(c)(3),,Practitioner Organization,,,https://www.marchtothepolls.org/,"MTTP’s  mission is to substantially increase electoral participation by underrepresented communities, primarily youth and people of color, and cultivate a lifelong commitment to voting and civic engagement, to ensure that everyone’s voice is equally heard and represented in our democracy.",,Camila Correa Bourdeau,5706 E Mockingbird Ln # 1,Dallas,TX,75206,info@marchtothepolls.org,,Community/Local - multiple,"Youth Engagement,Education,Service and Volunteerism",Voter Engagement,,,,,Voter Engagement/Registration/Education,Fair Maps Texas,,,,32.7762719,-96.7968559,
National Council of Jewish Women Incorporated Greater Dallas (NCJW Greater Dallas),75-0800635,501(c)(3),NCJW Greater Dallas,Practitioner Organization,,National Council of Jewish Women (NCJW),https://www.ncjwdallas.org/,"The National Council of Jewish Women (NCJW) is a grassroots organization of volunteers and advocates who turn progressive ideals into action. Inspired by Jewish values, NCJW strives for social justice by improving the quality of life for women, children, and families and by safeguarding individual rights and freedoms.",,"Debbie Greene,Shannon Morse",16910 Dallas Pkwy Ste 104,Dallas,TX,75248,info@ncjwdallas.org,(214) 368-4405,Community/Local - single,"Advocacy,Education,Service and Volunteerism",Faith-Based Efforts,,,,,"Faith-Based Organizing/Engagement/Advocacy,Civil and Political Rights,Service & Volunteerism","Declaration for American Democracy,Fair Maps Texas",,,,32.7762719,-96.7968559,
P W A Coalition of Dallas,742144518,,,,,,,,,,,Dallas,TX,75208,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,32.7762719,-96.7968559,
Point of View Ministries,75-1751385,501(c)(3),,Practitioner Organization,Journalism/Media,,https://pointofview.net/,"As a media ministry, we use the powerful tool of live, daily, national talk radio and the latest digital technology to provide biblical clarity, truth, and content to restore a Christian biblical worldview to the culture.",,Warren Kelley,9330 Lyndon B Johnson Fwy Ste 1050,Dallas,TX,75243,pov@pointofview.net,(800) 227-1444,National,"Podcasts/Radio,Print and Digital Publication",Civic Media,,,,,Civic Journalism,Listen First Coalition,,,,32.7762719,-96.7968559,
Project Transformation National,474329954,,,,,,,,,,,Dallas,TX,75225,,,,Service and Volunteerism,Service & Volunteerism,,,,,Service & Volunteerism,,,,,32.7762719,-96.7968559,
