"","Name","Record ID","Organization Full Name","Trimmed Name","Shorthand","Type","Sub-Type","EIN","EIN searched","Parent Org","Website","Mission/Description","Network Membership","# Networks","Network Founder","Maps Managed","Tech Tools","People","Street","City","State","Zip","General Contact Email","Org Phone","Location Scope","Location Notes","Data Source","Tax Class/Subsection","Subsection Description","nonprofit class w description","NTEE Code","Goals","Category of Work","Methods","Self-Identified Ideology","Funder Type","External Schema","DFN Coding","Candid Subject","Candid Population","CC Primary Work","CC Topic(s)","CC Work Area(s)","CC Audiences","Link to Agora","2022 Revenue","2021 Revenue","2020 Revenue","2019 Revenue","2018 Revenue","2017 Revenue","2016 Revenue","2015 Revenue","Full Data","FLAG FOR REVIEW","Reason for flag/review","Flagged/unflagged by","Notes","Last modified","Created by","Orgs & Funders table","Latest Tax Year (from Link to Agora)","DFN 990 data","Last modified by","Ruling Year","IRS Org Name","Resolved","Resolved by","Organization does not exist","Organization does not meet criteria for inclusion","Notes about not meeting criteria","Latitude","Longitude","lat","long"
"543","Woodmen of the World Omaha Woodmen Life Insurance Society",9729,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","58-1585569",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"170 Murray Ave","Hartwell","GA",30643,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"checked","chapter organization to be batched;","Breanna Bowyer",NA,"5/7/2024","Rachel Fersh",NA,NA,NA,"Breanna Bowyer",NA,NA,NA,NA,NA,NA,NA,NA,NA,34.3528825,-82.932087
"544","Woodmen of the World Omaha Woodmen Life Insurance Society",9730,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","41-1785188",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"4830 Maple Dr Ste 6","Pleasant Hill","IA",50327,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/26/2023","Rachel Fersh",NA,NA,NA,"Rachel Fersh",NA,NA,NA,NA,NA,NA,NA,NA,NA,41.5964843,-93.5148963
"545","Woodmen of the World Omaha Woodmen Life Insurance Society",9731,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","34-1698954",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"503 Stewart Ave SW","Massillon","OH",44646,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/26/2023","Rachel Fersh",NA,NA,NA,"Rachel Fersh",NA,NA,NA,NA,NA,NA,NA,NA,NA,40.7965119,-81.5231597
"546","Woodmen of the World Omaha Woodmen Life Insurance Society",9732,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","56-1760052",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"1608 E Yacht Dr","Oak Island","NC",28465,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/26/2023","Rachel Fersh",NA,NA,NA,"Rachel Fersh",NA,NA,NA,NA,NA,NA,NA,NA,NA,33.9046184,-78.0827699
"547","Woodmen of the World Omaha Woodmen Life Insurance Society",9733,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","23-7630689",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"4 Red Oak Dr","Southington","CT",6489,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/26/2023","Rachel Fersh",NA,NA,NA,"Rachel Fersh",NA,NA,NA,NA,NA,NA,NA,NA,NA,41.6005435,-72.8782941
"548","Woodmen of the World Omaha Woodmen Life Insurance Society",9734,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","23-7630086",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"111 Lincoln Rd","Fayetteville","TN",37334,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/26/2023","Rachel Fersh",NA,NA,NA,"Rachel Fersh",NA,NA,NA,NA,NA,NA,NA,NA,NA,35.1520267,-86.5705509
"549","Woodmen of the World Omaha Woodmen Life Insurance Society",9735,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","54-1479458",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"PO Box 172","Lebanon","VA",24266,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/26/2023","Rachel Fersh",NA,NA,NA,"Rachel Fersh",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.9009076,-82.0801257
"550","Woodmen of the World Omaha Woodmen Life Insurance Society",9736,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","23-7631144",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"2333 W Old Camden Rd","Hartsville","SC",29550,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/26/2023","Rachel Fersh",NA,NA,NA,"Rachel Fersh",NA,NA,NA,NA,NA,NA,NA,NA,NA,34.3740431,-80.0734005
"551","Woodmen of the World Omaha Woodmen Life Insurance Society",9737,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","23-7631089",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"729 Old Cash Rd","Cheraw","SC",29520,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/26/2023","Rachel Fersh",NA,NA,NA,"Rachel Fersh",NA,NA,NA,NA,NA,NA,NA,NA,NA,34.6976564,-79.8833971
"552","Woodmen of the World Omaha Woodmen Life Insurance Society",9738,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","23-7629198",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"1309 Pheasant Run Rd NE","Fort Payne","AL",35967,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/26/2023","Rachel Fersh",NA,NA,NA,"Rachel Fersh",NA,NA,NA,NA,NA,NA,NA,NA,NA,34.4442547,-85.7196893
"553","Woodmen of the World Omaha Woodmen Life Insurance Society",9739,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","23-7629143",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"6100 Seagull St NE Ste 103","Albuquerque","NM",87109,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/26/2023","Rachel Fersh",NA,NA,NA,"Rachel Fersh",NA,NA,NA,NA,NA,NA,NA,NA,NA,35.0841034,-106.650985
"554","Woodmen of the World Omaha Woodmen Life Insurance Society",9740,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","23-7630488",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"1605 Alena Rd","Angleton","TX",77515,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"checked","chapter organization to be batched;","Breanna Bowyer",NA,"4/23/2024","Rachel Fersh",NA,NA,NA,"Breanna Bowyer",NA,NA,NA,NA,NA,NA,NA,NA,NA,29.16941,-95.4318847
"555","Woodmen of the World Omaha Woodmen Life Insurance Society",9741,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","23-7629370",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"708 E Bellevista Dr","Independence","MO",64055,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/26/2023","Rachel Fersh",NA,NA,NA,"Rachel Fersh",NA,NA,NA,NA,NA,NA,NA,NA,NA,39.0924792,-94.4137923
"556","Woodmen of the World Omaha Woodmen Life Insurance Society",9742,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","23-7629136",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"PO Box 5589","Abilene","TX",79608,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"checked","chapter organization to be batched;","Breanna Bowyer",NA,"4/23/2024","Rachel Fersh",NA,NA,NA,"Breanna Bowyer",NA,NA,NA,NA,NA,NA,NA,NA,NA,32.44645,-99.7475905
"557","Woodmen of the World Omaha Woodmen Life Insurance Society",9743,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,NA,NA,"86-0634267",NA,NA,NA,"PROVIDE A SENIOR CAMP EXPERIENCE",NA,0,NA,NA,NA,NA,"12200 E State Route 69 Ste L","Dewey","AZ",86327,NA,NA,"Community/Local - single",NA,"Candid","501(c)(7)","Social and Recreation Clubs","501(c)(7) Social and Recreation Clubs","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,"WOODMEN OF THE WORLD OMAHA WOODMEN LIFE INSURANCE SOCIETY","$22444.00",NA,NA,"$26695.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/3/2024","Rachel Fersh",NA,2022,NA,"Rachel Fersh",1989,"WOODMEN OF THE WORLD OMAHA WOODMEN LIFE INSURANCE SOCIETY",NA,NA,NA,NA,NA,NA,NA,34.5297551,-112.2421149
"558","Woodmen of the World Omaha Woodmen Life Insurance Society",9744,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","24-7628941",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"6644 McCarty Rd","Saginaw","MI",48603,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/26/2023","Rachel Fersh",NA,NA,NA,"Rachel Fersh",NA,NA,NA,NA,NA,NA,NA,NA,NA,43.4200387,-83.9490365
"559","Woodmen of the World Omaha Woodmen Life Insurance Society",9745,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","58-2021042",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"382 Peewee Rd","Deer Park","AL",36529,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/26/2023","Rachel Fersh",NA,NA,NA,"Rachel Fersh",NA,NA,NA,NA,NA,NA,NA,NA,NA,31.2200918,-88.328491893956
"560","Woodmen of the World Omaha Woodmen Life Insurance Society",9746,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","58-1551234",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"222 Highway 239","Clayton","AL",36016,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/26/2023","Rachel Fersh",NA,NA,NA,"Rachel Fersh",NA,NA,NA,NA,NA,NA,NA,NA,NA,31.8782162,-85.4496627
"561","Woodmen of the World Omaha Woodmen Life Insurance Society",9747,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","23-7275263",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"605 Maize St","Athens","AL",35611,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/26/2023","Rachel Fersh",NA,NA,NA,"Rachel Fersh",NA,NA,NA,NA,NA,NA,NA,NA,NA,34.8045487,-86.9711698
"562","Woodmen of the World Omaha Woodmen Life Insurance Society",9748,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","54-1495542",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"181 Birch Haven Dr","Lynchburg","VA",24502,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/26/2023","Rachel Fersh",NA,NA,NA,"Rachel Fersh",NA,NA,NA,NA,NA,NA,NA,NA,NA,37.4137536,-79.1422464
"563","Woodmen of the World Omaha Woodmen Life Insurance Society",9749,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","43-1421684",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"102 Virginia St","Bertrand","MO",63823,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/26/2023","Rachel Fersh",NA,NA,NA,"Rachel Fersh",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.9094963,-89.4525775
"564","Woodmen of the World Omaha Woodmen Life Insurance Society",9750,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","23-7629010",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"PO Box 222","Sunbury","NC",27979,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/26/2023","Rachel Fersh",NA,NA,NA,"Rachel Fersh",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.4409871,-76.611617
"565","Woodmen of the World Omaha Woodmen Life Insurance Society",9751,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","23-7630755",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"1228 Winston St","Charleston","SC",29407,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/26/2023","Rachel Fersh",NA,NA,NA,"Rachel Fersh",NA,NA,NA,NA,NA,NA,NA,NA,NA,32.7884363,-79.9399309
"566","Woodmen of the World Omaha Woodmen Life Insurance Society",9752,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","47-0717118",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"509 W 15th Ave","Bellevue","NE",68005,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/26/2023","Rachel Fersh",NA,NA,NA,"Rachel Fersh",NA,NA,NA,NA,NA,NA,NA,NA,NA,41.1365122,-95.8937398
"567","Woodmen of the World Omaha Woodmen Life Insurance Society",9753,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","58-2127039",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"3720 Brushy Wood Dr","Loganville","GA",30052,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"checked","chapter organization to be batched;","Breanna Bowyer",NA,"5/7/2024","Rachel Fersh",NA,NA,NA,"Breanna Bowyer",NA,NA,NA,NA,NA,NA,NA,NA,NA,33.8389977,-83.9007382
"568","Woodmen of the World Omaha Woodmen Life Insurance Society",9754,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","23-7629666",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"415 Arnold Ave S Apt 11","Thief River Falls","MN",56701,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/26/2023","Rachel Fersh",NA,NA,NA,"Rachel Fersh",NA,NA,NA,NA,NA,NA,NA,NA,NA,48.1172301,-96.1770667
"569","Woodmen of the World Omaha Woodmen Life Insurance Society",9755,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","23-7628814",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"3223 S Durango St","Tacoma","WA",98409,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/26/2023","Rachel Fersh",NA,NA,NA,"Rachel Fersh",NA,NA,NA,NA,NA,NA,NA,NA,NA,47.2455013,-122.438329
"570","Woodmen of the World Omaha Woodmen Life Insurance Society",9756,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","23-7629043",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"1514 Turkey Branch Rd","Fairmont","NC",28340,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/26/2023","Rachel Fersh",NA,NA,NA,"Rachel Fersh",NA,NA,NA,NA,NA,NA,NA,NA,NA,34.4968311,-79.114202
"571","Woodmen of the World Omaha Woodmen Life Insurance Society",9757,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","23-7630102",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"9041 Executive Park Dr Ste 136","Knoxville","TN",37923,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/26/2023","Rachel Fersh",NA,NA,NA,"Rachel Fersh",NA,NA,NA,NA,NA,NA,NA,NA,NA,35.9603948,-83.9210261
"572","Woodmen of the World Omaha Woodmen Life Insurance Society",9758,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","23-7628996",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"PO Box 10","Elizabethtown","NC",28337,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/26/2023","Rachel Fersh",NA,NA,NA,"Rachel Fersh",NA,NA,NA,NA,NA,NA,NA,NA,NA,34.6293372,-78.6052899
"573","Woodmen of the World Omaha Woodmen Life Insurance Society",9759,"Woodmen of the World Omaha Woodmen Life Insurance Society","Woodmen of the World Omaha Woodmen Life Insurance Society",NA,"Practitioner Organization","Chapter","23-7573977",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"324 Toomey St","Lemoore","CA",93245,NA,NA,NA,NA,"Candid","501(c)(8)","Fraternal Beneficiary Societies","501(c)(8) Fraternal Beneficiary Societies","Q35 International Democracy & Civil Society Development","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism",NA,NA,NA,NA,"Democracy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/26/2023","Rachel Fersh",NA,NA,NA,"Rachel Fersh",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.3006495,-119.7827122
