"","Name","City","State","Zip","EIN","Source","Goals","Category of Work","Methods","Focus Areas","lat","long"
"213","Boys and Girls Clubs of Indianapolis, Inc.","Indianapolis","IN","46204","350888754","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",39.7683331,-86.1583502
"214","Boys' and Girls' Club of North Central Florida, Inc.","Perry","FL","32347","592973927","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",30.1174351,-83.5818147
"215","Breakthrough","Austin","TX","78702","742991346","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education",30.2711286,-97.7436995
"216","Breakthrough Atlanta, Inc.","Atlanta","GA","30327","844725498","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",33.7489924,-84.3902644
"217","Breakthrough Cincinnati Inc.","Cincinnati","OH","45243","311357625","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",39.1014537,-84.5124602
"218","Breakthrough New York Inc","New York","NY","10006","270628927","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",40.7127281,-74.0060152
"219","Breakthrough Silicon Valley","San Jose","CA","95126","262168102","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",37.3361663,-121.890591
"220","Breakthrough Twin Cities","Saint Paul","MN","55109","453587267","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",44.9497487,-93.0931028
"221","Brevard Neighborhood Development Coalition, Inc., The","Melbourne","FL","32935","593483505","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education; Healthy Futures",28.106471,-80.6371513
"222","Brigham Young University","Provo","UT","84602","870217280","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",40.2337289,-111.6587085
"223","Bright Futures","Telluride","CO","81435","202169766","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building",37.9374939,-107.812285
"224","Brighton Center, Inc.","Newport","KY","41071","610673886","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",39.0889469,-84.4919524
"225","Brooke County Committee on Aging, Inc","Follansbee","WV","26037","550516908","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity; Healthy Futures; Veterans and Military Families",40.3275693,-80.5959065
"226","Broome County","Binghamton","NY","13901","156000449","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",42.098698,-75.9125187
"227","Bryan County Retired Senior Volunteer Program Inc","Durant","OK","74701","731351152","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures; Veterans and Military Families",33.9919761,-96.3776762
"228","Bur Oak Land Trust","Iowa City","IA","52246","421104058","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Environmental Stewardship",41.6612561,-91.5299106
"229","Bureau of Land Management - California","Sacramento","CA","95825","84-1024566","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Environment",38.5810606,-121.493895
"230","Butler Co. Board of Education","Greenville","AL","36037","636000783","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",31.8295972,-86.6177517
"231","Butler County Community Resource Council","Poplar Bluff","MO","63901","431821718","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Environmental Stewardship; Healthy Futures",36.7568327,-90.3957115
"232","Butler Healthcare Providers","Butler","PA","16001","250965274","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity; Healthy Futures; Veterans and Military Families",40.86108,-79.895197
"233","Butte School District #1","Butte","MT","59701","816000956","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity; Education; Healthy Futures",46.0131505,-112.536508
"234","C.E.F.S.  Economic Opportunity Corp.","Effingham","IL","62401","376053117","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education; Healthy Futures",39.1201433,-88.54348
"235","CALIFORNIA CHILDREN AND FAMILIES FOUNDATION INC","Alameda","CA","94501","770561803","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",37.7652076,-122.241635
"236","CARE Community Center","Rogers","AR","72756","46-2973383","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Urban/Rural Development",36.3330154,-94.1166283
"237","CAREER RESOURCES, INC.","Bridgeport","CT","06604","061427945","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",41.1792695,-73.1887863
"238","CARROLL COUNTY SCHOOL DISTRICT","Hillsville","VA","24343","546001194","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",36.7662528,-80.7370242
"239","CASA FOR CHILDREN OF THE DISTRICT OF COLUMBIA","Washington","DC","20002","030472883","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education",38.8950368,-77.0365427
"240","CASA INC","Hyattsville","MD","20783","521372972","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity; Education",38.9529442,-76.9408647
"241","CASA of Los Angeles","Monterey Park","CA","91754","953890446","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building",34.051522,-118.129807
"242","CASA of Mississippi, Inc.","Yazoo City","MS","39194","432002765","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education",32.84569,-90.4146109
"243","CATHOLIC CHARITIES OF NE KANSAS INC","Overland Park","KS","66212","481181305","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education; Healthy Futures",38.9742502,-94.6851702
"244","CATHOLIC CHARITIES OF SOUTHWESTERN OHIO","Cincinnati","OH","45237","310536968","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education; Healthy Futures",39.1014537,-84.5124602
"245","CATHOLIC CHARITIES OF THE DIOCESE OF FRESNO","Fresno","CA","93701","941678938","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",36.7394421,-119.78483
"246","CATHOLIC CHARITIES OF THE DIOCESE OF OGDENSBURG","Ogdensburg","NY","13669","150614025","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education; Healthy Futures",44.694285,-75.486374
"247","CATHOLIC CHARITIES USA","Alexandria","VA","22314","530196620","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Healthy Futures",38.8051095,-77.0470229
"248","CATHOLIC CHARITIES WEST MICHIGAN","Grand Rapids","MI","49503","383012473","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education; Healthy Futures",42.9632425,-85.6678639
"249","CATHOLIC CHARITIES, ARCHDIOCESE OF SAN ANTONIO, INC","San Antonio","TX","78212","741109743","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education; Healthy Futures",29.4246002,-98.4951405
"250","CATHOLIC CHARITIES, DIOCESE OF SAN DIEGO","San Diego","CA","92117","237334012","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education; Healthy Futures",32.7174202,-117.162772
"251","CATHOLIC COMMUNITY SERVICES OF WESTERN WASHINGTON","Seattle","WA","98144","911585652","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",47.6038321,-122.330062
"252","CATHOLIC SOCIAL SERVICES","Columbus","OH","43215","314379437","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education; Healthy Futures",39.9622601,-83.0007065
"253","CATHOLIC SOCIAL SERVICES OF WASHTENAW COUNTY","Ann Arbor","MI","48108","381654500","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity; Education; Healthy Futures",42.2813722,-83.7484616
"254","CENLA Area Agency on Aging, Inc.","Alexandria","LA","71301","721242809","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",31.3119463,-92.4453558
"255","CENTRAL VERMONT COUNCIL ON AGING INC","Barre","VT","05641","030276104","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",44.1969042,-72.5007458
"256","CENTRO CAMPESINO FARMWORKER CENTER, INC.","Homestead","FL","33034","591460598","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",25.4718946,-80.4759905
"257","CF USA GREEN COUNTY COUNCIL","Tulsa","OK","74119","730579231","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",36.1563122,-95.9927516
"258","CGA, INC.","Casa Grande","AZ","85122","262121550","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education",32.8772834,-111.7536818
"259","CHARLESTON, CITY OF","Charleston","SC","29401","576000226","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building",32.7884363,-79.9399309
"260","CHEER, Inc.","Georgetown","DE","19947","510112599","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",38.6900507,-75.3858753
"261","CHICAGO, CITY OF","Chicago","IL","60622","366005820","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education; Healthy Futures",41.8755616,-87.6244212
"262","CHILDREN FIRST/COMMUNITIES IN SCHOOLS OF BUNCOMBE COUNTY, INC.","Asheville","NC","28816","591721943","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education; Healthy Futures",35.595363,-82.5508407
"263","CHRISTIAN APPALACHIAN PROJECT, INC.","Paintsville","KY","41240","610661137","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education; Healthy Futures",37.8145384,-82.8071054
"264","CHRISTUS Health","Irving","TX","75038","760590551","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Healthy Futures",32.8295183,-96.9442177
"265","CITIZEN SCHOOLS INC","Boston","MA","02108","043259160","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education",42.3554334,-71.060511
"266","CITIZENS FOR EDUCATIONAL EXCELLENCE","Corpus Christi","TX","78410","753137924","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education",27.7635302,-97.4033191
"267","CITY AND COUNTY OF HONOLULU-DEPARTMENT OF COMMUNITY SERVICES","Honolulu","HI","96817","996001257","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Disaster Services; Education; Healthy Futures",21.304547,-157.855676
"268","CITY OF ANN ARBOR","Ann Arbor","MI","48104","386004534","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Environmental Stewardship",42.2813722,-83.7484616
"269","CITY OF FORT DODGE","Fort Dodge","IA","50501","426004675","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",42.5044017,-94.1910044
"270","CITY OF LANCASTER MUNICIPAL BUILDING","Lancaster","PA","17602","236001904","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Environmental Stewardship",40.03813,-76.3056686
"271","CITY OF LAUREL","Laurel","MS","39440","646000579","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Environmental Stewardship",31.6940509,-89.1306124
"272","CITY OF LIBERTY","Liberty","MO","64068","446000213","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Environmental Stewardship; Healthy Futures",39.246479,-94.419079
"273","CITY OF OAKLAND","Oakland","CA","94612","946000384","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education; Healthy Futures",37.8044557,-122.271356
"274","CITY OF ROCHESTER CITY HALL","Rochester","NY","14614","166002551","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity; Education; Healthy Futures; Veterans and Military Families",43.157285,-77.615214
"275","CITY OF SAN ANTONIO","San Antonio","TX","78205","746002070","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",29.4246002,-98.4951405
"276","CITY YEAR, INC.","Boston","MA","02116","222882549","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",42.3554334,-71.060511
"277","CLC, Inc","Fort Worth","TX","76108","752866735","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity",32.753177,-97.3327459
"278","CLINCHPOWELL RESOURCE CONSERVATION & DEV","Rutledge","TN","37861","621396815","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Environmental Stewardship",36.2808512,-83.51477
"279","CNMI Public School System","Saipan","MP","96950","660446193","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",15.22475515,145.734698426735
"280","COLLEGE STUDENT AID COMMISSION IOWA","Des Moines","IA","50309","900491825","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",41.5868654,-93.6249494
"281","COLORADO STATE UNIVERSITY","Fort Collins","CO","80521","846000545","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",40.5871782,-105.0770113
"282","COMMUNITIES IN SCHOOLS OF","Philadelphia","PA","19143","232410538","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education",39.9527237,-75.1635262
"283","COMMUNITIES IN SCHOOLS OF GEORGIA INC","Atlanta","GA","30303","581912923","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",33.7489924,-84.3902644
"284","COMMUNITY ACTION OF GREATER INDIANAPOLIS, INCORPORATED","Indianapolis","IN","46208","356048441","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",39.7683331,-86.1583502
"285","COMMUNITY ACTION OF SOUTHERN KENTUCKY INC","Bowling Green","KY","42101","610660969","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education; Healthy Futures; Veterans and Military Families",36.9903199,-86.4436018
"286","COMMUNITY ACTION OF SOUTHOLD TOWN INC.","Southold","NY","11971","112129868","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education; Healthy Futures",41.0651442,-72.4263497
"287","COMMUNITY ACTION PARTNERSHIP OF CENTRAL ILLINOIS, INC.","Lincoln","IL","62656","370895679","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",40.1481349,-89.3636569
"288","COMMUNITY ACTION, INC.","Punxsutawney","PA","15767","251156265","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity; Environmental Stewardship; Healthy Futures",40.9436303,-78.971078
"289","COMMUNITY AFFAIRS, GEORGIA DEPARTMENT OF","Atlanta","GA","30329","581259426","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building",33.7489924,-84.3902644
"290","COMMUNITY CAREGIVERS INC","Albany","NY","12203","141778951","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",42.6511674,-73.754968
"291","COMMUNITY RELATIONS- SOCIAL DEVELOPMENT COMMISSION","Milwaukee","WI","53205","391033230","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education; Healthy Futures",43.0386475,-87.9090751
"292","COMPREHEND, INC.","Maysville","KY","41056","610680352","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",38.6411854,-83.744365
"293","CONSERVATION CORPS","Saint Paul","MN","55107","411881102","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Environmental Stewardship",44.9497487,-93.0931028
"294","CONSERVATION TRUST FOR NC","Raleigh","NC","27605","581552188","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Environmental Stewardship",35.7803977,-78.6390989
"295","COOPERATIVE EDUCATIONAL SERVICE AGENCY NO 10","Chippewa Falls","WI","54729","391485301","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",44.9371325,-91.3932118
"296","CORNERSTONE COMMUNITY ACTION AGENCY INC","Coleman","TX","76834","751230663","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity; Education; Healthy Futures; Veterans and Military Families",31.8310249,-99.4244712
"297","CORRECTIONS DEPARTMENT, NEW MEXICO","Santa Fe","NM","87508","856000565","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity",35.6876096,-105.938456
"298","COTS","Detroit","MI","48201","382420565","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education; Healthy Futures",42.3315509,-83.0466403
"299","COUNCIL ON AGING, INC. SERVING ST. CLAIR COUNTY, THE","Port Huron","MI","48060","381876251","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",42.9760854,-82.4333742
"300","COUNSELORS IN THE COMMUNITY ASSOCIATION CO","Middle River","MD","21220","861889292","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education; Healthy Futures",39.3342745,-76.4394057
"301","COUNTY OF BOULDER","Boulder","CO","80302","846000748","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Healthy Futures",40.0149856,-105.270545
"302","COUNTY OF CAMBRIA","Ebensburg","PA","15931","256001022","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education; Healthy Futures",40.4852783,-78.7248434
"303","COUNTY OF CENTRE","Bellefonte","PA","16823","246000724","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures; Veterans and Military Families",40.9134862,-77.7737471
"304","COUNTY OF CLACKAMAS","Oregon City","OR","97045","936002286","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education; Healthy Futures",45.3573429,-122.606758
"305","COUNTY OF CUMBERLAND","Bridgeton","NJ","08302","216000508","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",39.427337,-75.2340768
"306","COUNTY OF CURRY","Clovis","NM","88101","856000210","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education; Healthy Futures",34.405472,-103.2050709
"307","COUNTY OF GREENE","Catskill","NY","12414","146002784","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",42.2173102,-73.8645734
"308","COUNTY OF HARRISON","Gulfport","MS","39501","646000245","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Disaster Services; Environmental Stewardship; Healthy Futures",30.3674198,-89.0928155
"309","COUNTY OF INGHAM","Lansing","MI","48911","386005629","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education; Healthy Futures",42.7337712,-84.5553805
"310","COUNTY OF ISABELLA","Mount Pleasant","MI","48858","386004859","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education; Healthy Futures",43.597646,-84.7668495
"311","COUNTY OF LAUDERDALE","Florence","AL","35630","636001589","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Healthy Futures; Veterans and Military Families",34.79981,-87.677251
"312","COUNTY OF MOBILE","Mobile","AL","36602","636001644","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Disaster Services; Economic Opportunity; Education; Environmental Stewardship; Healthy Futures",30.6913462,-88.0437509
"313","COUNTY OF MONROE","Monroeville","AL","36460","636001651","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",31.5278224,-87.3246325
"314","COUNTY OF NEW HANOVER","Wilmington","NC","28403","566000324","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Disaster Services; Economic Opportunity; Education; Healthy Futures",34.2257282,-77.9447107
"315","COUNTY OF ONEIDA","Rhinelander","WI","54501","396005723","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",45.636623,-89.412075
"316","COUNTY OF PHELPS","Rolla","MO","65401","436002750","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",37.9509324,-91.7708076
"317","COUNTY OF PORTAGE","Stevens Point","WI","54481","396005731","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity; Education; Healthy Futures; Veterans and Military Families",44.5234467,-89.5844457
"318","COUNTY OF RICHLAND","Sidney","MT","59270","816001419","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Healthy Futures; Veterans and Military Families",47.716735,-104.155973
"319","COUNTY OF SARATOGA","Ballston Spa","NY","12020","146002571","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",43.0009087,-73.8490111
"320","COUNTY OF SOMERSET","Somerville","NJ","08876","226002472","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity; Education",40.5742696,-74.60988
"321","COURT APPOINTED SPECIAL ADVOCATE (CASA) of JEFFERSON COUNTY","Birmingham","AL","35204","631201369","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education; Healthy Futures",33.5206824,-86.8024326
"322","Cahaba Riverkeeper","Birmingham","AL","35243","262623785","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Environmental Stewardship",33.5206824,-86.8024326
"323","California Center for Cooperation Development","Davis","CA","95616","392065673","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",38.5435526,-121.739005
"324","California Conservation Corps","Sacramento","CA","95816","680298653","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Environmental Stewardship",38.5810606,-121.493895
"325","California Greenworks","Inglewood","CA","90301","010574486","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Environmental Stewardship",33.9562003,-118.353132
"326","California State University East Bay Foundation, Inc.","Hayward","CA","94542","946390556","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",37.6688205,-122.080796
"327","California State University System","Long Beach","CA","90802","954601267","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education",33.7690164,-118.191604
"328","Camillus House, Inc.","Miami","FL","33136","650032862","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building",25.7741728,-80.19362
"329","Campus Compact","Boston","MA","02111","050493226","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education; Environmental Stewardship; Healthy Futures; Veterans and Military Families",42.3554334,-71.060511
"330","Campus Compact Mid-Atlantic Inc","Frederick","MD","21701","264076820","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education; Healthy Futures",39.415779,-77.4127562
"331","Campus Compact of Oregon","Portland","OR","97204","721574586","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education",45.5202471,-122.674194
"332","Canopy NWA","Fayetteville","AR","72703","811305235","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",36.0625843,-94.1574328
"333","Capital Area Literacy Coalition/The Reading People","Lansing","MI","48906","382625057","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education",42.7337712,-84.5553805
"334","Captain Planet Foundation","Atlanta","GA","30303","581959421","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Environmental Stewardship",33.7489924,-84.3902644
"335","Caras of the Americas","San Juan","PR","00917","421628144","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education; Environmental Stewardship",18.465299,-66.116666
"336","Cardinal Ritter Senior Services","Saint Louis","MO","63119","430811604","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",38.6280278,-90.1910154
"337","Carl Albert State College","Poteau","OK","74953","621542448","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education",35.0568053,-94.6199966
"338","Carterville First Baptist Church","Carterville","MO","64835","436058510","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education; Healthy Futures",37.1492253,-94.4430032
"339","Carver Community Organization, Inc.","Evansville","IN","47713","350869030","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Disaster Services; Economic Opportunity; Healthy Futures; Veterans and Military Families",37.970495,-87.5715641
"340","Cascade County Commission","Great Falls","MT","59401","816001343","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",47.5048851,-111.29189
"341","Catholic Charities Archdiocese of New Orleans","Metairie","LA","70003","720408911","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",29.9899926,-90.1505426
"342","Catholic Charities Inc","Wichita","KS","67202","480543703","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",37.6922361,-97.3375448
"343","Catholic Charities Indianapolis","Indianapolis","IN","46202","473062508","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Healthy Futures",39.7683331,-86.1583502
"344","Catholic Charities Maine","Portland","ME","04101","010280225","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",43.6573605,-70.2586618
"345","Catholic Charities Of Buffalo, NY","Buffalo","NY","14209","160743251","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",42.8867166,-78.8783922
"346","Catholic Charities Of The Diocese Of Baton Rouge, Inc.","Baton Rouge","LA","70808","720590685","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",30.4494155,-91.1869659
"347","Catholic Charities Of The Diocese of Saint Cloud","Saint Cloud","MN","56303","410737799","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",45.5616075,-94.1642004
"348","Catholic Charities Of the Diocese Of Yakima","Yakima","WA","98908","911370404","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",46.601557,-120.510842
"349","Catholic Charities Of the Diocese of Honolulu","Honolulu","HI","96822","990073547","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",21.304547,-157.855676
"350","Catholic Charities of Southeast Michigan","Southfield","MI","48075","453623184","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education; Healthy Futures; Veterans and Military Families",42.4733689,-83.2218731
